MAG	category	KO	gene	copies
CAN_5_bin.112	Gluconeogenesis	K01006	ppdk	1
coasm_bin.260	Gluconeogenesis	K01006	ppdk	1
coasm_bin.481	Gluconeogenesis	K01006	ppdk	1
coasm_bin.55	Gluconeogenesis	K03841	fbp	0
CAN_2_bin.6	Gluconeogenesis	K03841	fbp	0
CAN_1_bin.210	Gluconeogenesis	K03841	fbp	1
CAN_1_bin.77	Gluconeogenesis	K03841	fbp	1
CAN_5_bin.112	Gluconeogenesis	K03841	fbp	1
coasm_bin.260	Gluconeogenesis	K03841	fbp	0
coasm_bin.481	Gluconeogenesis	K03841	fbp	1
coasm_bin.55	Gluconeogenesis	K01007	pps	0
CAN_2_bin.6	Gluconeogenesis	K01007	pps	0
CAN_1_bin.210	Gluconeogenesis	K01007	pps	1
CAN_1_bin.77	Gluconeogenesis	K01007	pps	0
CAN_5_bin.112	Gluconeogenesis	K01007	pps	0
coasm_bin.260	Gluconeogenesis	K01007	pps	0
coasm_bin.481	Gluconeogenesis	K01007	pps	0
coasm_bin.55	Polyphosphate	K00937	ppk1	2
CAN_2_bin.6	Polyphosphate	K00937	ppk1	1
CAN_1_bin.210	Polyphosphate	K00937	ppk1	1
CAN_1_bin.77	Polyphosphate	K00937	ppk1	1
CAN_5_bin.112	Polyphosphate	K00937	ppk1	0
coasm_bin.260	Polyphosphate	K00937	ppk1	2
coasm_bin.481	Polyphosphate	K00937	ppk1	2
coasm_bin.55	Polyphosphate	K22468	ppk2	0
CAN_2_bin.6	Polyphosphate	K22468	ppk2	0
CAN_1_bin.210	Polyphosphate	K22468	ppk2	1
CAN_1_bin.77	Polyphosphate	K22468	ppk2	1
CAN_5_bin.112	Polyphosphate	K22468	ppk2	1
coasm_bin.260	Polyphosphate	K22468	ppk2	2
coasm_bin.481	Polyphosphate	K22468	ppk2	1
coasm_bin.55	Polyphosphate	K01514	ppx	0
CAN_2_bin.6	Polyphosphate	K01514	ppx	0
CAN_1_bin.210	Polyphosphate	K01514	ppx	0
CAN_1_bin.77	Polyphosphate	K01514	ppx	0
CAN_5_bin.112	Polyphosphate	K01514	ppx	0
coasm_bin.260	Polyphosphate	K01514	ppx	0
coasm_bin.481	Polyphosphate	K01514	ppx	0
coasm_bin.55	Phosphate transport	K02040	pstS	2
CAN_2_bin.6	Phosphate transport	K02040	pstS	1
CAN_1_bin.210	Phosphate transport	K02040	pstS	2
CAN_1_bin.77	Phosphate transport	K02040	pstS	2
CAN_5_bin.112	Phosphate transport	K02040	pstS	0
coasm_bin.260	Phosphate transport	K02040	pstS	4
coasm_bin.481	Phosphate transport	K02040	pstS	5
coasm_bin.55	Phosphate transport	K02037	pstC	2
CAN_2_bin.6	Phosphate transport	K02037	pstC	1
CAN_1_bin.210	Phosphate transport	K02037	pstC	1
CAN_1_bin.77	Phosphate transport	K02037	pstC	2
CAN_5_bin.112	Phosphate transport	K02037	pstC	0
coasm_bin.260	Phosphate transport	K02037	pstC	2
coasm_bin.481	Phosphate transport	K02037	pstC	2
coasm_bin.55	Phosphate transport	K02038	pstA	2
CAN_2_bin.6	Phosphate transport	K02038	pstA	1
CAN_1_bin.210	Phosphate transport	K02038	pstA	1
CAN_1_bin.77	Phosphate transport	K02038	pstA	2
CAN_5_bin.112	Phosphate transport	K02038	pstA	0
coasm_bin.260	Phosphate transport	K02038	pstA	2
coasm_bin.481	Phosphate transport	K02038	pstA	1
coasm_bin.55	Phosphate transport	K02036	pstB	2
CAN_2_bin.6	Phosphate transport	K02036	pstB	1
CAN_1_bin.210	Phosphate transport	K02036	pstB	1
CAN_1_bin.77	Phosphate transport	K02036	pstB	3
CAN_5_bin.112	Phosphate transport	K02036	pstB	0
coasm_bin.260	Phosphate transport	K02036	pstB	3
coasm_bin.481	Phosphate transport	K02036	pstB	2
coasm_bin.55	Phosphate transport	K07657	phoB	1
CAN_2_bin.6	Phosphate transport	K07657	phoB	1
CAN_1_bin.210	Phosphate transport	K07657	phoB	1
CAN_1_bin.77	Phosphate transport	K07657	phoB	0
CAN_5_bin.112	Phosphate transport	K07657	phoB	0
coasm_bin.260	Phosphate transport	K07657	phoB	0
coasm_bin.481	Phosphate transport	K07657	phoB	0
coasm_bin.55	Phosphate transport	K07636	phoR	1
CAN_2_bin.6	Phosphate transport	K07636	phoR	1
CAN_1_bin.210	Phosphate transport	K07636	phoR	0
CAN_1_bin.77	Phosphate transport	K07636	phoR	1
CAN_5_bin.112	Phosphate transport	K07636	phoR	0
coasm_bin.260	Phosphate transport	K07636	phoR	3
coasm_bin.481	Phosphate transport	K07636	phoR	2
coasm_bin.55	Type IV pili	K02650	pilA	3
CAN_2_bin.6	Type IV pili	K02650	pilA	1
CAN_1_bin.210	Type IV pili	K02650	pilA	1
CAN_1_bin.77	Type IV pili	K02650	pilA	0
CAN_5_bin.112	Type IV pili	K02650	pilA	0
coasm_bin.260	Type IV pili	K02650	pilA	0
coasm_bin.481	Type IV pili	K02650	pilA	0
coasm_bin.55	Type IV pili	K02652	pilB	2
CAN_2_bin.6	Type IV pili	K02652	pilB	3
CAN_1_bin.210	Type IV pili	K02652	pilB	1
CAN_1_bin.77	Type IV pili	K02652	pilB	1
CAN_5_bin.112	Type IV pili	K02652	pilB	0
coasm_bin.260	Type IV pili	K02652	pilB	0
coasm_bin.481	Type IV pili	K02652	pilB	0
coasm_bin.55	Type IV pili	K02653	pilC	1
CAN_2_bin.6	Type IV pili	K02653	pilC	1
CAN_1_bin.210	Type IV pili	K02653	pilC	1
CAN_1_bin.77	Type IV pili	K02653	pilC	1
CAN_5_bin.112	Type IV pili	K02653	pilC	0
coasm_bin.260	Type IV pili	K02653	pilC	0
coasm_bin.481	Type IV pili	K02653	pilC	0
coasm_bin.55	Type IV pili	K02654	pilD	1
CAN_2_bin.6	Type IV pili	K02654	pilD	1
CAN_1_bin.210	Type IV pili	K02654	pilD	1
CAN_1_bin.77	Type IV pili	K02654	pilD	1
CAN_5_bin.112	Type IV pili	K02654	pilD	0
coasm_bin.260	Type IV pili	K02654	pilD	0
coasm_bin.481	Type IV pili	K02654	pilD	1
coasm_bin.55	Type IV pili	K02662	pilM	1
CAN_2_bin.6	Type IV pili	K02662	pilM	1
CAN_1_bin.210	Type IV pili	K02662	pilM	1
CAN_1_bin.77	Type IV pili	K02662	pilM	1
CAN_5_bin.112	Type IV pili	K02662	pilM	0
coasm_bin.260	Type IV pili	K02662	pilM	0
coasm_bin.481	Type IV pili	K02662	pilM	0
coasm_bin.55	Type IV pili	K02663	pilN	1
CAN_2_bin.6	Type IV pili	K02663	pilN	1
CAN_1_bin.210	Type IV pili	K02663	pilN	1
CAN_1_bin.77	Type IV pili	K02663	pilN	1
CAN_5_bin.112	Type IV pili	K02663	pilN	0
coasm_bin.260	Type IV pili	K02663	pilN	0
coasm_bin.481	Type IV pili	K02663	pilN	0
coasm_bin.55	Type IV pili	K02664	pilO	1
CAN_2_bin.6	Type IV pili	K02664	pilO	1
CAN_1_bin.210	Type IV pili	K02664	pilO	1
CAN_1_bin.77	Type IV pili	K02664	pilO	1
CAN_5_bin.112	Type IV pili	K02664	pilO	0
coasm_bin.260	Type IV pili	K02664	pilO	0
coasm_bin.481	Type IV pili	K02664	pilO	0
coasm_bin.55	Type IV pili	K02665	pilP	1
CAN_2_bin.6	Type IV pili	K02665	pilP	1
CAN_1_bin.210	Type IV pili	K02665	pilP	1
CAN_1_bin.77	Type IV pili	K02665	pilP	0
CAN_5_bin.112	Type IV pili	K02665	pilP	0
coasm_bin.260	Type IV pili	K02665	pilP	0
coasm_bin.481	Type IV pili	K02665	pilP	0
coasm_bin.55	Type IV pili	K02666	pilQ	1
CAN_2_bin.6	Type IV pili	K02666	pilQ	1
CAN_1_bin.210	Type IV pili	K02666	pilQ	1
CAN_1_bin.77	Type IV pili	K02666	pilQ	1
CAN_5_bin.112	Type IV pili	K02666	pilQ	0
