MAG	KO	gene	protein_id	score	score_type	threshold
CAN_1_bin.77	K02040	pstS	CAN_1_bin.77|DLHCAE_02259	255.1	domain	59.60
CAN_1_bin.77	K02040	pstS	CAN_1_bin.77|DLHCAE_03813	250.7	domain	59.60
CAN_1_bin.77	K02652	pilB	CAN_1_bin.77|DLHCAE_00542	801.2	full	692.57
CAN_1_bin.77	K02653	pilC	CAN_1_bin.77|DLHCAE_00544	513.2	full	442.53
CAN_1_bin.77	K02654	pilD	CAN_1_bin.77|DLHCAE_01389	237.9	full	134.93
CAN_1_bin.77	K02662	pilM	CAN_1_bin.77|DLHCAE_03538	307.9	domain	119.60
CAN_1_bin.77	K02663	pilN	CAN_1_bin.77|DLHCAE_03537	96.8	domain	66.13
CAN_1_bin.77	K02664	pilO	CAN_1_bin.77|DLHCAE_03536	105.5	full	66.67
CAN_1_bin.77	K02666	pilQ	CAN_1_bin.77|DLHCAE_03534	455.2	full	452.70
CAN_1_bin.77	K02669	pilT	CAN_1_bin.77|DLHCAE_00543	537.6	full	468.20
CAN_1_bin.77	K02669	pilT	CAN_1_bin.77|DLHCAE_01391	492.5	full	468.20
CAN_1_bin.77	K02669	pilT	CAN_1_bin.77|DLHCAE_01392	489.3	full	468.20
CAN_1_bin.77	K02669	pilT	CAN_1_bin.77|DLHCAE_02588	474.4	full	468.20
CAN_1_bin.77	K02669	pilT	CAN_1_bin.77|DLHCAE_02679	530.4	full	468.20
CAN_1_bin.77	K03559	exbD	CAN_1_bin.77|DLHCAE_02823	46.8	domain	29.70
CAN_1_bin.77	K03559	exbD	CAN_1_bin.77|DLHCAE_02915	32.3	domain	29.70
CAN_1_bin.77	K03559	exbD	CAN_1_bin.77|DLHCAE_02921	32.3	domain	29.70
CAN_1_bin.77	K03559	exbD	CAN_1_bin.77|DLHCAE_04586	127.9	domain	29.70
CAN_1_bin.77	K03559	exbD	CAN_1_bin.77|DLHCAE_04767	109.4	domain	29.70
CAN_1_bin.77	K03559	exbD	CAN_1_bin.77|DLHCAE_04768	107.4	domain	29.70
CAN_1_bin.77	K03561	exbB	CAN_1_bin.77|DLHCAE_04587	179.7	full	57.13
CAN_1_bin.77	K03561	exbB	CAN_1_bin.77|DLHCAE_04766	167.4	full	57.13
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_01425	51.7	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_01967	85.7	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_02952	40.6	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_03491	62.2	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_03614	53.7	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_04585	45.5	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_04765	108.1	domain	34.90
CAN_1_bin.77	K03832	tonB	CAN_1_bin.77|DLHCAE_04914	40.3	domain	34.90
