reference,querry,ani,alignment_coverage,primary_cluster
CAN_2_bin.6.fa,CAN_2_bin.6.fa,1.0,100.0,195
CAN_3_bin.176.fa,CAN_1_bin.10.fa,0.9971,92.79,195
CAN_3_bin.176.fa,CAN_2_bin.6.fa,0.9959,89.53,195
CAN_3_bin.176.fa,CAN_3_bin.176.fa,1.0,100.0,195
CAN_4_bin.40.fa,CAN_1_bin.10.fa,0.9967,92.82,195
CAN_4_bin.40.fa,CAN_2_bin.6.fa,0.9964,91.03,195
CAN_4_bin.40.fa,CAN_3_bin.176.fa,0.9971,93.63,195
CAN_4_bin.40.fa,CAN_4_bin.40.fa,1.0,100.0,195
coasm_bin.38.fa,CAN_1_bin.10.fa,0.9976999999999999,92.28,195
coasm_bin.38.fa,CAN_2_bin.6.fa,0.9959,90.06,195
coasm_bin.38.fa,CAN_3_bin.176.fa,0.9972,92.26,195
coasm_bin.38.fa,CAN_4_bin.40.fa,0.9972,94.41,195
coasm_bin.38.fa,coasm_bin.38.fa,1.0,100.0,195
CAN_1_bin.10.fa,CAN_2_bin.6.fa,0.9965999999999999,92.49,195
CAN_1_bin.10.fa,CAN_3_bin.176.fa,0.9971,96.56,195
CAN_2_bin.6.fa,CAN_3_bin.176.fa,0.9959,93.88,195
CAN_1_bin.10.fa,CAN_4_bin.40.fa,0.9967,96.4,195
CAN_2_bin.6.fa,CAN_4_bin.40.fa,0.9964,95.27,195
CAN_3_bin.176.fa,CAN_4_bin.40.fa,0.9971,93.45,195
CAN_1_bin.10.fa,coasm_bin.38.fa,0.9976999999999999,96.86,195
CAN_2_bin.6.fa,coasm_bin.38.fa,0.9959,95.26,195
CAN_3_bin.176.fa,coasm_bin.38.fa,0.9972,93.07,195
CAN_4_bin.40.fa,coasm_bin.38.fa,0.9972,95.41,195
CAN_1_bin.110.fa,CAN_1_bin.110.fa,1.0,100.0,30
coasm_bin.60.fa,CAN_1_bin.110.fa,0.9987999999999999,92.73,30
coasm_bin.60.fa,coasm_bin.60.fa,1.0,100.0,30
CAN_1_bin.110.fa,coasm_bin.60.fa,0.9987999999999999,93.98,30
CAN_1_bin.115.fa,CAN_1_bin.115.fa,1.0,100.0,176
CAN_2_bin.12.fa,CAN_1_bin.115.fa,0.9934000000000001,81.08,176
CAN_2_bin.12.fa,CAN_2_bin.12.fa,1.0,100.0,176
CAN_3_bin.56.fa,CAN_1_bin.115.fa,0.9956999999999999,77.21,176
CAN_3_bin.56.fa,CAN_2_bin.12.fa,0.9975,74.62,176
CAN_3_bin.56.fa,CAN_3_bin.56.fa,1.0,100.0,176
CAN_4_bin.32.fa,CAN_1_bin.115.fa,0.9889,74.38,176
CAN_4_bin.32.fa,CAN_2_bin.12.fa,0.9882,72.01,176
CAN_4_bin.32.fa,CAN_3_bin.56.fa,0.9908,89.5,176
CAN_4_bin.32.fa,CAN_4_bin.32.fa,1.0,100.0,176
CAN_5_bin.86.fa,CAN_1_bin.115.fa,0.9945999999999999,68.83,176
CAN_5_bin.86.fa,CAN_2_bin.12.fa,0.9969,66.82,176
CAN_5_bin.86.fa,CAN_3_bin.56.fa,0.9975,84.66,176
CAN_5_bin.86.fa,CAN_4_bin.32.fa,0.9894,83.41,176
CAN_5_bin.86.fa,CAN_5_bin.86.fa,1.0,100.0,176
coasm_bin.2.fa,CAN_1_bin.115.fa,0.9963,74.22,176
coasm_bin.2.fa,CAN_2_bin.12.fa,0.9981,71.21,176
coasm_bin.2.fa,CAN_3_bin.56.fa,0.9995,89.71,176
coasm_bin.2.fa,CAN_4_bin.32.fa,0.9918,87.45,176
coasm_bin.2.fa,CAN_5_bin.86.fa,0.9992,93.13,176
coasm_bin.2.fa,coasm_bin.2.fa,1.0,100.0,176
CAN_1_bin.115.fa,CAN_2_bin.12.fa,0.9934000000000001,78.61,176
CAN_1_bin.115.fa,CAN_3_bin.56.fa,0.9956999999999999,93.48,176
CAN_2_bin.12.fa,CAN_3_bin.56.fa,0.9975,93.19,176
CAN_1_bin.115.fa,CAN_4_bin.32.fa,0.9889,88.89,176
CAN_2_bin.12.fa,CAN_4_bin.32.fa,0.9882,88.77,176
CAN_3_bin.56.fa,CAN_4_bin.32.fa,0.9908,88.35,176
CAN_1_bin.115.fa,CAN_5_bin.86.fa,0.9945999999999999,90.43,176
CAN_2_bin.12.fa,CAN_5_bin.86.fa,0.9969,90.55,176
CAN_3_bin.56.fa,CAN_5_bin.86.fa,0.9975,91.86,176
CAN_4_bin.32.fa,CAN_5_bin.86.fa,0.9894,91.68,176
CAN_1_bin.115.fa,coasm_bin.2.fa,0.9963,98.48,176
CAN_2_bin.12.fa,coasm_bin.2.fa,0.9981,97.46,176
CAN_3_bin.56.fa,coasm_bin.2.fa,0.9995,98.32,176
CAN_4_bin.32.fa,coasm_bin.2.fa,0.9918,97.09,176
CAN_5_bin.86.fa,coasm_bin.2.fa,0.9992,94.07,176
CAN_1_bin.119.fa,CAN_1_bin.119.fa,1.0,100.0,248
coasm_bin.286.fa,CAN_1_bin.119.fa,0.9968,56.46,248
coasm_bin.286.fa,coasm_bin.286.fa,1.0,100.0,248
CAN_1_bin.119.fa,coasm_bin.286.fa,0.9968,94.67,248
CAN_1_bin.11.fa,CAN_1_bin.11.fa,1.0,100.0,78
CAN_2_bin.19.fa,CAN_1_bin.11.fa,0.9971,87.92,78
CAN_2_bin.19.fa,CAN_2_bin.19.fa,1.0,100.0,78
CAN_3_bin.201.fa,CAN_1_bin.11.fa,0.9990000000000001,91.95,78
CAN_3_bin.201.fa,CAN_2_bin.19.fa,0.9972,65.6,78
CAN_3_bin.201.fa,CAN_3_bin.201.fa,1.0,100.0,78
CAN_4_bin.116.fa,CAN_1_bin.11.fa,0.9997,95.94,78
CAN_4_bin.116.fa,CAN_2_bin.19.fa,0.9973000000000001,67.49,78
CAN_4_bin.116.fa,CAN_3_bin.201.fa,0.9986,95.72,78
CAN_4_bin.116.fa,CAN_4_bin.116.fa,1.0,100.0,78
CAN_5_bin.99.fa,CAN_1_bin.11.fa,0.995,87.12,78
CAN_5_bin.99.fa,CAN_2_bin.19.fa,0.9914000000000001,65.16,78
CAN_5_bin.99.fa,CAN_3_bin.201.fa,0.9948,87.33,78
CAN_5_bin.99.fa,CAN_4_bin.116.fa,0.9956999999999999,91.5,78
CAN_5_bin.99.fa,CAN_5_bin.99.fa,1.0,100.0,78
coasm_bin.454.fa,CAN_1_bin.11.fa,0.9992,75.77,78
coasm_bin.454.fa,CAN_2_bin.19.fa,0.9984000000000001,59.27,78
coasm_bin.454.fa,CAN_3_bin.201.fa,0.9986,78.02,78
coasm_bin.454.fa,CAN_4_bin.116.fa,0.9997,79.09,78
coasm_bin.454.fa,CAN_5_bin.99.fa,0.9956999999999999,67.71,78
coasm_bin.454.fa,coasm_bin.454.fa,1.0,100.0,78
CAN_1_bin.11.fa,CAN_2_bin.19.fa,0.9971,70.2,78
CAN_1_bin.11.fa,CAN_3_bin.201.fa,0.9990000000000001,98.91,78
CAN_2_bin.19.fa,CAN_3_bin.201.fa,0.9972,88.38,78
CAN_1_bin.11.fa,CAN_4_bin.116.fa,0.9997,99.74,78
CAN_2_bin.19.fa,CAN_4_bin.116.fa,0.9973000000000001,87.87,78
CAN_3_bin.201.fa,CAN_4_bin.116.fa,0.9986,92.51,78
CAN_1_bin.11.fa,CAN_5_bin.99.fa,0.995,83.37,78
CAN_2_bin.19.fa,CAN_5_bin.99.fa,0.9914000000000001,78.09,78
CAN_3_bin.201.fa,CAN_5_bin.99.fa,0.9948,77.69,78
CAN_4_bin.116.fa,CAN_5_bin.99.fa,0.9956999999999999,84.22,78
CAN_1_bin.11.fa,coasm_bin.454.fa,0.9992,99.3,78
CAN_2_bin.19.fa,coasm_bin.454.fa,0.9984000000000001,97.28,78
CAN_3_bin.201.fa,coasm_bin.454.fa,0.9986,95.06,78
CAN_4_bin.116.fa,coasm_bin.454.fa,0.9997,99.7,78
CAN_5_bin.99.fa,coasm_bin.454.fa,0.9956999999999999,92.74,78
CAN_1_bin.122.fa,CAN_1_bin.122.fa,1.0,100.0,100
CAN_4_bin.220.fa,CAN_1_bin.122.fa,0.993,77.47,100
CAN_4_bin.220.fa,CAN_4_bin.220.fa,1.0,100.0,100
coasm_bin.465.fa,CAN_1_bin.122.fa,0.993,77.47,100
coasm_bin.465.fa,CAN_4_bin.220.fa,1.0,100.0,100
coasm_bin.465.fa,coasm_bin.465.fa,1.0,100.0,100
CAN_1_bin.122.fa,CAN_4_bin.220.fa,0.993,95.5,100
CAN_1_bin.122.fa,coasm_bin.465.fa,0.993,95.5,100
CAN_4_bin.220.fa,coasm_bin.465.fa,1.0,100.0,100
CAN_1_bin.123.fa,CAN_1_bin.123.fa,1.0,100.0,133
coasm_bin.233.fa,CAN_1_bin.123.fa,0.9679000000000001,38.54,133
