MAG	day_1	day_8	day_15	day_22	day_28	day_29	day_38	day_45	day_50	day_64	day_71	day_78	day_86	day_92	day_99	day_106	day_115	day_121	day_127	day_134	day_141	day_147	day_158	day_163	day_172	day_189	day_199	day_206	day_213	day_220	day_227	day_234	day_240	day_248	day_255	day_267	day_275	day_284	day_289	day_295	day_302	day_311	day_318	day_325	day_330	day_338	day_346	day_353	day_358	day_372	day_380	day_386	day_395	day_406	day_415	day_423	day_436	day_445	day_449	day_464	day_480	day_484	day_493	day_500	day_507	day_512	day_522	day_528	day_536	day_541	day_547	day_560	day_570	day_575	day_584
CAN_1_bin.84	0.589311	0.450208	0.448005	0.480881	0.366114	0.390868	0.515316	0.493485	0.442650	0.412494	0.640593	0.948016	0.897501	0.967772	1.024010	0.928874	0.947317	0.936038	1.019850	0.972464	0.953974	0.943585	0.957940	0.952607	0.901578	0.927850	0.945876	0.994076	0.924386	0.666972	0.766388	0.858393	0.854317	0.713451	0.617580	0.579613	0.496401	0.404078	0.311579	0.519678	0.431745	0.485866	0.455668	0.434544	0.388394	0.434661	0.557678	0.515055	0.408862	0.442754	0.274246	0.254438	0.232160	0.372088	0.210165	0.329295	0.224074	0.263886	0.247387	0.138188	0.096050	0.132979	0.095554	0.053277	0.069513	0.076718	0.051075	0.073922	0.046596	0.038319	0.024420	0.043987	0.053222	0.057464	0.075307
CAN_1_bin.98	1.076457	1.054857	0.676254	1.004031	0.920631	1.035279	1.052129	1.132885	1.103779	1.092933	1.382333	2.017829	1.944584	2.039307	2.089221	2.111778	2.126019	2.083790	2.120333	2.088055	2.084502	2.090119	2.070859	2.036741	2.115470	2.020451	2.030074	2.082414	2.088909	4.963055	4.974682	3.101290	3.928732	2.946061	4.221130	5.478460	5.292877	5.284098	3.229096	5.175998	4.652616	4.139324	5.402141	5.104640	4.906329	4.915018	5.106888	5.246774	6.497597	8.717885	8.819496	7.035503	9.463587	5.290790	8.329185	6.467847	6.492387	6.320396	5.628054	6.813266	8.020170	9.314555	8.352538	8.044752	6.424144	6.531984	6.031070	5.255200	4.782480	4.503920	4.673993	3.419963	2.878081	1.867586	2.097296
CAN_2_bin.151	0.329026	0.544997	0.514452	0.422465	0.853905	0.560600	0.626402	0.520580	0.518239	0.582493	0.061812	0.204282	0.220336	0.244039	0.208552	0.218362	0.243773	0.241691	0.240005	0.241835	0.258490	0.237425	0.226977	0.242906	0.262804	0.262440	0.226413	0.260950	0.239897	0.274635	0.253182	0.143988	0.101169	0.079956	0.089939	0.061305	0.068255	0.018650	0.039656	0.291020	0.232915	0.201918	0.082350	0.074921	0.079963	0.061298	0.108437	0.067919	0.071827	0.162135	0.099726	0.059172	0.042766	0.061165	0.038715	0.031066	0.063200	0.102980	0.061847	0.048065	0.042022	0.139023	0.140520	0.170485	0.289637	0.321485	0.238349	0.376331	0.245690	0.188646	0.156288	0.142957	0.110538	0.077987	0.116726
CAN_2_bin.159	3.231650	2.953132	3.211112	3.172928	2.981697	4.071335	4.317443	4.211630	4.055143	4.448962	12.682625	4.509665	4.454912	4.344076	4.481201	4.213805	4.304588	4.192499	4.101751	4.011534	4.164858	4.124977	4.100431	4.062843	4.156453	4.110966	4.044678	4.128940	4.211813	1.935526	2.039141	1.888464	1.815423	1.513008	1.199185	1.081202	1.017622	1.100336	0.883753	0.990854	1.005510	0.971731	1.037606	1.088857	1.165182	1.103371	1.425178	1.188590	1.221062	1.216014	1.121915	1.633136	2.394917	2.803405	3.224379	3.367505	2.303936	2.149707	2.201744	2.667628	1.993036	1.970503	1.972908	1.667555	1.262816	1.143463	1.021494	0.893787	0.783666	0.666156	0.610501	0.461860	0.393024	0.406354	0.289931
CAN_2_bin.173	1.477644	1.371705	0.854360	0.842870	0.403064	0.578976	0.596089	0.593114	0.563772	0.592702	0.275343	0.368117	0.346521	0.343890	0.346738	0.316125	0.337286	0.330124	0.340924	0.340733	0.354814	0.340366	0.341279	0.352021	0.355636	0.346517	0.343078	0.333593	0.321630	0.065389	0.287396	0.227059	0.207959	0.178363	0.071951	0.066878	0.018615	0.074599	0.062316	1.628326	2.153042	1.325088	0.746637	0.529444	0.605438	0.390081	0.242693	0.198098	0.171280	0.081068	0.186986	0.118343	0.085533	0.035680	0.049776	0.049705	0.080437	0.070799	0.086585	0.162221	0.180094	0.157157	0.095554	0.143847	0.110062	0.073065	0.089381	0.087363	0.025416	0.097271	0.107448	0.080642	0.098256	0.045150	0.090368
CAN_2_bin.176	0.683119	0.640566	0.691736	0.554580	0.644117	0.607410	0.624603	0.583377	0.662627	0.696269	0.500112	0.545814	0.533431	0.545827	0.562233	0.574003	0.580259	0.574251	0.564597	0.549538	0.578188	0.533533	0.534494	0.556669	0.565393	0.570723	0.525264	0.546547	0.570689	0.653894	0.602162	0.675638	0.640737	0.651947	0.647560	0.691077	0.558451	0.354345	0.407886	0.616685	0.579447	0.630994	0.532528	0.689276	0.622573	0.551686	0.707425	0.764093	0.806674	0.523821	0.592122	0.621302	0.348240	0.377185	0.276533	0.335508	0.448147	0.598571	0.538067	0.318433	0.414215	0.471470	0.539599	0.697922	0.666165	0.789099	0.655459	0.729142	0.758250	0.916701	1.177045	1.799787	2.333579	2.466855	2.662098
CAN_2_bin.23	1.953270	2.937360	1.941217	1.899140	2.342453	1.786595	1.773337	1.643869	1.799956	1.753841	0.561924	1.444520	1.528704	1.419523	1.460557	1.394851	1.415281	1.370895	1.397738	1.400705	1.465101	1.422102	1.447283	1.454492	1.420112	1.448927	1.441109	1.393393	1.439139	0.287713	0.335295	0.454118	0.331610	0.258318	0.191870	0.139330	0.235791	0.130548	0.577838	0.228659	0.227234	0.138819	0.192149	0.159832	0.102810	0.078016	0.015491	0.050940	0.077352	0.018708	0.018699	0.005917	0.018328	0.015291	0.000000	0.006213	0.011491	0.000000	0.012369	0.024033	0.042022	0.036267	0.073071	0.058604	0.017378	0.087678	0.068100	0.094083	0.076249	0.088428	0.063492	0.051318	0.012282	0.032837	0.015061
CAN_2_bin.6	0.139510	0.126333	0.075215	0.082477	0.120459	0.106781	0.097954	0.107954	0.118825	0.112149	0.129243	1.573134	1.540124	1.665611	1.623510	1.617576	1.591717	1.612024	1.666283	1.678796	1.602150	1.633364	1.662260	1.687437	1.684905	1.660121	1.700829	1.689151	1.593203	2.661348	2.620775	2.464418	2.630396	1.666769	1.744814	1.593936	1.563663	1.125202	1.240653	1.316519	1.596319	2.126451	1.800714	1.533390	1.604981	1.337420	1.884746	1.686665	1.745953	1.540284	1.265271	0.745562	0.623167	0.525001	0.470107	0.484623	0.660730	0.765914	0.834931	0.594809	0.366190	0.380803	0.269799	0.186468	0.220124	0.244767	0.161737	0.154565	0.088957	0.067795	0.043956	0.047652	0.090068	0.069778	0.097899
CAN_3_bin.10	0.170906	0.137576	0.138375	0.141219	0.128986	0.159675	0.178818	0.150572	0.137897	0.159938	0.590020	0.244275	0.237885	0.227086	0.231467	0.248641	0.239577	0.239443	0.243272	0.242025	0.227520	0.240114	0.229621	0.231813	0.226334	0.228810	0.250438	0.240844	0.233146	0.333486	0.458464	0.365509	0.354092	0.375177	0.263821	0.234075	0.167535	0.211364	0.147292	0.200942	0.238596	0.195608	0.197639	0.149843	0.217044	0.183895	0.180729	0.164139	0.149180	0.162135	0.149589	0.177515	0.336022	0.341506	0.425861	0.528114	0.333238	0.263886	0.272126	0.414564	0.342178	0.368714	0.292283	0.367608	0.249088	0.361670	0.310704	0.211686	0.211802	0.176856	0.244200	0.102636	0.106444	0.094405	0.097899
CAN_3_bin.124	0.013926	0.008901	0.007672	0.008562	0.003925	0.017507	0.021498	0.022720	0.023466	0.019974	0.011238	0.095665	0.113093	0.074329	0.093050	0.072873	0.091515	0.073819	0.073755	0.090925	0.083156	0.066753	0.086438	0.084666	0.076918	0.079072	0.089182	0.074804	0.089208	0.006539	1.019570	0.731018	0.719424	0.448982	0.275812	0.217355	0.124100	0.043516	0.016995	0.027716	0.079532	0.069409	0.032940	0.014984	0.028558	0.011145	0.010327	0.005660	0.005525	0.000000	0.024931	0.005917	0.024438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005621	0.005328	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016376	0.000000	0.000000
CAN_3_bin.203	1.967323	1.122318	1.277293	1.130185	1.579095	1.599604	2.106057	1.567666	1.578182	1.963935	1.483479	1.516780	1.422575	1.520492	1.485324	1.461309	1.597911	1.582421	1.570006	1.517636	1.544112	1.454378	1.408843	1.533951	1.609534	1.627291	1.567602	1.605483	1.618036	2.249395	2.093883	3.721548	5.238309	5.523095	4.520926	3.176726	6.620750	4.761905	4.005212	1.877772	3.215361	3.274861	3.079879	2.837021	3.438428	2.223461	3.480326	3.339371	3.154870	2.644051	2.567938	2.130178	2.144428	1.391508	1.399259	1.242622	0.976731	1.074854	0.834931	0.576784	1.452755	2.061170	5.221741	6.808737	5.914383	12.062982	15.381996	16.837472	20.426145	18.390025	18.583639	15.596936	13.899124	11.837623	11.890956
CAN_3_bin.205	0.032156	0.053094	0.098506	0.146746	0.332413	0.208720	0.247629	0.241592	0.244341	0.253888	0.073050	0.124524	0.099444	0.097243	0.106706	0.095710	0.107100	0.103234	0.098512	0.095101	0.092422	0.089493	0.106777	0.094400	0.102779	0.097890	0.100284	0.104423	0.084627	0.039234	0.041057	0.060918	0.033723	0.030752	0.029980	0.055732	0.031025	0.012433	0.005665	0.020787	0.028404	0.012620	0.038430	0.014984	0.034270	0.033435	0.015491	0.016980	0.016576	0.024944	0.006233	0.011834	0.036657	0.005097	0.005531	0.024852	0.022982	0.012872	0.012369	0.006008	0.006003	0.000000	0.000000	0.000000	0.000000	0.010960	0.000000	0.013440	0.008472	0.008843	0.004884	0.000000	0.020470	0.012314	0.007531
CAN_3_bin.208	0.002659	0.004216	0.004110	0.004335	0.010692	0.007822	0.008185	0.009737	0.007289	0.007546	0.005619	0.040902	0.037883	0.045082	0.041896	0.037206	0.041561	0.036722	0.044356	0.038914	0.043651	0.046702	0.045558	0.046182	0.041111	0.046443	0.038585	0.050158	0.044845	0.071928	0.047899	0.083070	0.033723	0.030752	0.065955	0.022293	0.018615	0.055949	0.028325	0.027716	0.039766	0.063099	0.043920	0.039958	0.028558	0.039008	0.046473	0.033960	0.055252	0.031180	0.037397	0.035503	0.000000	0.000000	0.005531	0.000000	0.000000	0.000000	0.000000	0.006008	0.006003	0.000000	0.000000	0.005328	0.005793	0.000000	0.000000	0.000000	0.004236	0.000000	0.004884	0.003666	0.000000	0.000000	0.000000
CAN_3_bin.216	2.467002	6.033846	3.247555	2.698116	3.456630	2.476822	2.481412	2.397009	2.485848	2.562703	0.050573	0.699650	0.672708	0.689829	0.655283	0.663042	0.730919	0.689663	0.683568	0.682225	0.727186	0.728901	0.711032	0.720341	0.706188	0.725264	0.701262	0.701345	0.673880	0.019617	0.013686	0.033228	0.056205	0.018451	0.005996	0.027866	0.068255	0.031083	0.130297	0.097007	0.096574	0.044170	0.027450	0.024974	0.011423	0.005573	0.030982	0.022640	0.016576	0.000000	0.000000	0.000000	0.000000	0.000000	0.005531	0.012426	0.005745	0.006436	0.012369	0.018025	0.072037	0.042311	0.084312	0.138519	0.347564	0.390896	0.374548	0.342730	0.377007	0.303602	0.234432	0.106301	0.167854	0.082092	0.064011
CAN_3_bin.221	0.512972	0.394927	0.367446	0.432219	0.286801	0.385529	0.435351	0.425890	0.341998	0.398587	0.331535	1.703566	1.551266	1.674553	1.683228	1.667099	1.704611	1.661861	1.788692	1.705941	1.684330	1.636787	1.680361	1.633332	1.693083	1.661322	1.709019	1.702555	1.649380	3.936442	3.257151	3.549870	3.591502	3.653361	3.195827	2.937079	2.103500	1.833893	1.693859	2.376663	2.545021	2.372539	2.651661	2.397483	2.661640	2.780719	2.788392	3.209192	3.215647	2.668995	2.505610	2.449704	2.859238	3.878893	3.025275	3.547686	2.528009	2.374976	2.127528	2.000721	2.035058	1.789168	2.034737	1.806074	1.146962	1.337084	1.136412	1.061792	0.961579	0.881330	0.923077	1.158315	1.359207	1.752658	1.796069
CAN_3_bin.227	1.055948	0.935551	0.993009	1.101464	0.945535	0.824821	0.975762	0.882827	0.841064	0.872334	0.292200	0.311082	0.288303	0.331967	0.332387	0.344351	0.315506	0.311763	0.310322	0.315296	0.312870	0.303199	0.328262	0.308556	0.288664	0.283660	0.299943	0.306784	0.275821	0.026156	0.034214	0.033228	0.073067	0.079956	0.065955	0.066878	0.086870	0.080816	0.062316	0.117794	0.051128	0.063099	0.054900	0.019979	0.062828	0.027863	0.036146	0.005660	0.038676	0.024944	0.031164	0.017751	0.036657	0.020388	0.033184	0.018639	0.074691	0.096544	0.074216	0.024033	0.066034	0.036267	0.056208	0.058604	0.052135	0.047492	0.068100	0.060482	0.033888	0.032424	0.043956	0.040321	0.036846	0.049255	0.048949
CAN_3_bin.43	0.076338	0.077611	0.115221	0.121277	0.177711	0.169732	0.153272	0.153253	0.151877	0.160086	0.269724	0.121115	0.116157	0.106744	0.122446	0.111362	0.106701	0.114288	0.120690	0.114274	0.102177	0.112477	0.112878	0.102550	0.125987	0.115506	0.108110	0.124314	0.115006	0.058850	0.109484	0.094146	0.073067	0.061504	0.071951	0.044586	0.055845	0.080816	0.050986	0.062361	0.039766	0.037860	0.054900	0.064932	0.028558	0.027863	0.067128	0.056600	0.071827	0.081068	0.068561	0.041420	0.030547	0.030583	0.033184	0.031066	0.074691	0.045054	0.098955	0.078106	0.072037	0.096712	0.078691	0.053277	0.063720	0.084024	0.051075	0.070562	0.029652	0.029476	0.058608	0.032990	0.057316	0.032837	0.030123
CAN_4_bin.103	0.032662	0.022955	0.016852	0.019075	0.008798	0.012168	0.009175	0.009173	0.008388	0.008433	0.000000	0.031358	0.038998	0.049180	0.042590	0.042851	0.049754	0.041968	0.047107	0.038154	0.047065	0.045480	0.036813	0.041880	0.040890	0.034031	0.036583	0.045834	0.041711	0.163473	0.109484	0.155065	0.202338	0.196814	0.275812	0.362258	0.248201	0.304613	0.436211	0.291020	0.391979	0.309187	0.340379	0.454523	0.496916	0.473670	0.407931	0.611275	0.436488	0.467698	0.342807	0.384615	0.568182	0.652429	0.508821	0.410065	0.448147	0.521336	0.482405	0.462629	0.378197	0.284091	0.297903	0.213106	0.254880	0.160742	0.148968	0.201606	0.173677	0.170960	0.219780	0.348228	0.483092	0.714198	0.847202
CAN_4_bin.107	0.033928	0.028733	0.019181	0.020159	0.008662	0.018500	0.019789	0.017357	0.013181	0.015831	0.005619	0.041356	0.041783	0.048249	0.044905	0.033614	0.041361	0.041031	0.041777	0.036066	0.042431	0.043035	0.046372	0.043239	0.044427	0.033230	0.040769	0.041510	0.040505	0.071928	0.116327	0.066456	0.095549	0.141460	0.095935	0.111464	0.080665	0.099465	0.113302	0.138581	0.090894	0.145129	0.082350	0.089906	0.177062	0.089161	0.185893	0.056600	0.154705	0.180843	0.268013	0.201183	0.305474	0.448545	0.365024	0.559180	0.407929	0.405484	0.457666	0.438596	0.294153	0.356625	0.247316	0.250400	0.173782	0.215541	0.229836	0.174725	0.118609	0.135589	0.131868	0.120963	0.106444	0.143660	0.075307
CAN_4_bin.11	0.001772	0.005466	0.000548	0.000975	0.000135	0.000745	0.000000	0.001270	0.000399	0.000296	0.000000	0.004772	0.007521	0.007638	0.008564	0.012317	0.010191	0.009555	0.009800	0.011959	0.011949	0.012715	0.004881	0.014715	0.010167	0.008808	0.008008	0.010377	0.010850	0.006539	0.041057	0.027690	0.039344	0.024602	0.065955	0.050159	0.086870	0.049733	0.073646	0.062361	0.056808	0.025240	0.087840	0.099895	0.125657	0.094734	0.232366	0.141499	0.132604	0.293091	0.280479	0.289941	0.177175	0.214078	0.138267	0.267164	0.241310	0.257450	0.303049	0.180245	0.192100	0.145068	0.168625	0.165157	0.191160	0.200928	0.255373	0.127684	0.144025	0.114956	0.126984	0.146622	0.192418	0.045150	0.067776
CAN_4_bin.116	0.194074	0.170214	0.117139	0.157367	0.081479	0.106657	0.099933	0.112188	0.114432	0.105195	0.140481	0.566719	0.546801	0.584016	0.523810	0.582984	0.553684	0.553641	0.545857	0.550867	0.526734	0.586348	0.562764	0.567761	0.570697	0.590341	0.597338	0.554763	0.550918	1.602040	1.546462	2.237359	2.579811	3.382742	2.122557	2.179123	3.530653	5.110034	4.588715	3.734756	3.590297	4.139324	4.463354	5.459268	5.311857	8.670939	8.674997	9.446457	8.680038	8.175355	7.361007	8.088757	8.308895	7.982058	8.240695	8.207518	7.865556	7.433868	7.570041	9.030281	10.367391	10.843810	8.212017	7.144379	5.248219	5.359296	4.341349	3.961560	3.939509	3.655014	3.565324	2.749166	2.632441	2.438123	2.311921
CAN_4_bin.142	0.003038	0.002186	0.002603	0.003360	0.003790	0.006208	0.006117	0.004657	0.005991	0.005474	0.005619	0.015225	0.010585	0.013785	0.018980	0.018475	0.011789	0.014427	0.017020	0.012908	0.014388	0.015649	0.013830	0.019695	0.018124	0.012411	0.012740	0.013837	0.019770	0.019617	0.068428	0.038766	0.005621	0.024602	0.005996	0.022293	0.062050	0.037300	0.022660	0.055432	0.090894	0.132509	0.087840	0.079916	0.119945	0.039008	0.000000	0.022640	0.016576	0.056124	0.081027	0.053254	0.030547	0.020388	0.016592	0.000000	0.011491	0.012872	0.006185	0.006008	0.006003	0.012089	0.011242	0.005328	0.000000	0.007306	0.004256	0.000000	0.000000	0.008843	0.000000	0.000000	0.008188	0.004105	0.007531
CAN_4_bin.154	0.025446	0.018271	0.017948	0.019942	0.017460	0.018625	0.023027	0.022014	0.026162	0.025744	0.016858	0.038402	0.040669	0.043405	0.043979	0.035410	0.043559	0.044404	0.036620	0.041571	0.036091	0.038389	0.039660	0.038258	0.045090	0.033230	0.037675	0.040213	0.039300	0.117701	0.034214	0.049842	0.067446	0.086106	0.029980	0.055732	0.062050	0.080816	0.113302	0.110865	0.130660	0.151439	0.126270	0.089906	0.154215	0.094734	0.227202	0.130179	0.138129	0.162135	0.155821	0.142012	0.036657	0.056068	0.044245	0.037279	0.051709	0.038617	0.055662	0.048065	0.066034	0.042311	0.011242	0.037294	0.028964	0.025573	0.042562	0.047041	0.012708	0.017686	0.019536	0.036656	0.049128	0.061569	0.048949
CAN_4_bin.166	0.001519	0.000312	0.000274	0.000975	0.012993	0.005463	0.004947	0.008467	0.009187	0.008433	0.000000	0.057490	0.061282	0.062779	0.075690	0.070820	0.066338	0.060891	0.062580	0.064920	0.056819	0.067731	0.062846	0.061575	0.064319	0.058854	0.054601	0.066589	0.063651	0.065389	0.075270	0.143988	0.151754	0.178363	0.281808	0.312099	0.273021	0.223797	0.470202	0.582040	0.477191	0.504796	0.290969	0.179811	0.199909	0.306492	0.268512	0.124519	0.121554	0.212023	0.274246	0.295858	0.067204	0.061165	0.016592	0.012426	0.000000	0.019309	0.000000	0.000000	0.000000	0.000000	0.022483	0.015983	0.005793	0.010960	0.008512	0.006720	0.000000	0.005895	0.009768	0.003666	0.000000	0.000000	0.003765
