MAG,old_mag_iterativeID,old_intersection_id,new_mag_iterativeID,assignment_case
coasm_bin.40,Taibaiella.5,Taibaiella.5_ma,Flavipsychrobacter.6_m,gtdb_genus
coasm_bin.400,2-12-FULL-35-15_m.2,2-12-FULL-35-15.2_m,Sphingobacteriales.53,asv_inherit
coasm_bin.407,1-14-0-10-56-10_m.2,1-14-0-10-56-10.2_m,Ca_Pacebacteria.8,asv_inherit
coasm_bin.409,Chitinophagaceae.2,Chitinophagaceae.2_ma,Chitinophagaceae.18,asv_inherit
coasm_bin.41,JAMQHH01_m.1,JAMQHH01.1_m,Dojkabacteria.2_m,gtdb_lowest
coasm_bin.411,Aquimonas_m.2,Aquimonas.2_m,Aquimonas.1,asv_inherit
coasm_bin.414,JACTMZ01_m.3,JACTMZ01.3_m,Terrimicrobium.2,asv_inherit
coasm_bin.417,Dokdonella.20,Dokdonella.20_ma,Dokdonella_A.1_m,gtdb_genus
coasm_bin.420,Rhizobiaceae.11,Rhizobiaceae.11_ma,Mesorhizobium_I.1_m,gtdb_genus
coasm_bin.423,Bryobacter.12,Bryobacter.12_ma,Bryobacter.12,asv_inherit
coasm_bin.425,BA12_m.2,BA12.2_m,Rhodothermaceae.3,asv_inherit
coasm_bin.426,JALHNB01_m.2,JALHNB01.2_m,Phototrophicaceae.7_m,gtdb_lowest
coasm_bin.437,Shinella.1,Shinella.1_ma,Mesorhizobium_G.1_m,gtdb_genus
coasm_bin.441,Ignavibacterium.2,Ignavibacterium.2_ma,Ignavibacterium.2,asv_inherit
coasm_bin.447,JAEUSD01_m.1,JAEUSD01.1_m,Dojkabacteria.3_m,gtdb_lowest
coasm_bin.448,Villigracilis_m.4,Villigracilis.4_m,Villigracilis.4_m,gtdb_genus
coasm_bin.449,Thermomonas.2,Thermomonas.2_ma,Thermomonas.2,asv_inherit
coasm_bin.466,OLB5_m.3,OLB5.3_m,Ignavibacteria.1_m,gtdb_lowest
coasm_bin.468,JACTMZ01_m.4,JACTMZ01.4_m,Chthoniobacteraceae.3,asv_inherit
coasm_bin.469,Pseudofulvimonas_m.1,Pseudofulvimonas.1_m,Pseudofulvimonas.1_m,gtdb_genus
coasm_bin.47,UBA6663_m.1,UBA6663.1_m,Anaerolineaceae.3,asv_inherit
coasm_bin.471,Luteimonas.1,Luteimonas.1_ma,Lysobacter_B.2_m,gtdb_genus
coasm_bin.473,Anaerolinea.13,Anaerolinea.13_ma,Anaerolinea.13,asv_inherit
coasm_bin.476,Accumulibacter_m.3,Accumulibacter.3_m,Accumulibacter.7_m,gtdb_genus
coasm_bin.479,Zambryskibacteraceae_m.1,Zambryskibacteraceae.1_m,Zambryskibacteraceae.1_m,gtdb_lowest
coasm_bin.481,Leptovillus_m.2,Leptovillus.2_m,Leptovillus.2_m,gtdb_genus
coasm_bin.482,BA9_m.1,BA9.1_m,Ignavibacteriaceae.3_m,gtdb_lowest
coasm_bin.484,Rhodoplanes.1,Rhodoplanes.1_ma,Rhodoplanes.1,asv_inherit
coasm_bin.485,Pseudofulvimonas_m.2,Pseudofulvimonas.2_m,Pseudofulvimonas.1,asv_inherit
coasm_bin.489,UBA2287_m.1,UBA2287.1_m,Tenuifilaceae.1_m,gtdb_lowest
coasm_bin.492,Flavitalea.4,Flavitalea.4_ma,Flavitalea.4,asv_inherit
coasm_bin.495,Fimbriimonadaceae_m.1,Fimbriimonadaceae.1_m,Fimbriimonadaceae.1_m,gtdb_lowest
coasm_bin.496,Dokdonella.10,Dokdonella.10_ma,Dokdonella.10,asv_inherit
coasm_bin.497,Amaricoccus.3,Amaricoccus.3_ma,Amaricoccus.3,asv_inherit
coasm_bin.499,JAMQHH01_m.2,JAMQHH01.2_m,Dojkabacteria.4_m,gtdb_lowest
coasm_bin.502,Xanthomonadaceae.5,Xanthomonadaceae.5_ma,Pseudoxanthomonas_B.1_m,gtdb_genus
coasm_bin.51,Hydrogenophaga_m.2,Hydrogenophaga.2_m,Hydrogenophaga.1,asv_inherit
coasm_bin.512,GCA-2794515_m.2,GCA-2794515.2_m,Phototrophicaceae.8_m,gtdb_lowest
coasm_bin.514,Mesorhizobium.15,Mesorhizobium.15_ma,Mesorhizobium_G.2_m,gtdb_genus
coasm_bin.518,JADKHR01_m.1,JADKHR01.1_m,Elusimicrobia.3,asv_inherit
coasm_bin.519,Flexifilum_m.4,Flexifilum.4_m,Flexifilum.4_m,gtdb_genus
coasm_bin.521,PGYR01_m.1,PGYR01.1_m,Kapaibacteriales.1_m,gtdb_lowest
coasm_bin.529,Azonexus_m.2,Azonexus.2_m,Azonexus.2_m,gtdb_genus
coasm_bin.53,midas_g_8672.1,midas_g_8672.1_ma,Saprospiraceae.13,asv_inherit
coasm_bin.532,JALHNF01_m.1,JALHNF01.1_m,Paceibacteria.4_m,gtdb_lowest
