Data type: genbank_genome; Columns: 9; Version: 1,,,,,,,,
staging_file_subdir_path,genome_name,source,release,genetic_code,scientific_name,genome_type,generate_ids_if_needed,generate_missing_genes
GenBank File Path,Genome Object Name,Source,Release,Genetic Code,Scientific Name,Genome Type,Generate IDs if Needed,Generate Missing Genes
bakta/coasm_bin.117.gbff,coasm_bin.117_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.118.gbff,coasm_bin.118_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.121.gbff,coasm_bin.121_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.125.gbff,coasm_bin.125_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.13.gbff,coasm_bin.13_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.131.gbff,coasm_bin.131_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.132.gbff,coasm_bin.132_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.133.gbff,coasm_bin.133_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.134.gbff,coasm_bin.134_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.135.gbff,coasm_bin.135_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.138.gbff,coasm_bin.138_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.139.gbff,coasm_bin.139_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.142.gbff,coasm_bin.142_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.147.gbff,coasm_bin.147_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.15.gbff,coasm_bin.15_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.150.gbff,coasm_bin.150_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.153.gbff,coasm_bin.153_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.156.gbff,coasm_bin.156_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.157.gbff,coasm_bin.157_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.161.gbff,coasm_bin.161_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.171.gbff,coasm_bin.171_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.178.gbff,coasm_bin.178_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.181.gbff,coasm_bin.181_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.183.gbff,coasm_bin.183_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.185.gbff,coasm_bin.185_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.188.gbff,coasm_bin.188_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.196.gbff,coasm_bin.196_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.2.gbff,coasm_bin.2_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.201.gbff,coasm_bin.201_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.202.gbff,coasm_bin.202_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.203.gbff,coasm_bin.203_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.206.gbff,coasm_bin.206_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.207.gbff,coasm_bin.207_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.208.gbff,coasm_bin.208_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.209.gbff,coasm_bin.209_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.213.gbff,coasm_bin.213_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.214.gbff,coasm_bin.214_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.215.gbff,coasm_bin.215_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.218.gbff,coasm_bin.218_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.219.gbff,coasm_bin.219_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.22.gbff,coasm_bin.22_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.221.gbff,coasm_bin.221_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.222.gbff,coasm_bin.222_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.223.gbff,coasm_bin.223_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.226.gbff,coasm_bin.226_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.231.gbff,coasm_bin.231_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.233.gbff,coasm_bin.233_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.237.gbff,coasm_bin.237_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.238.gbff,coasm_bin.238_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.24.gbff,coasm_bin.24_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.240.gbff,coasm_bin.240_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.246.gbff,coasm_bin.246_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.248.gbff,coasm_bin.248_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.249.gbff,coasm_bin.249_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.25.gbff,coasm_bin.25_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.250.gbff,coasm_bin.250_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.251.gbff,coasm_bin.251_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.255.gbff,coasm_bin.255_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.256.gbff,coasm_bin.256_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.258.gbff,coasm_bin.258_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.259.gbff,coasm_bin.259_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.260.gbff,coasm_bin.260_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.261.gbff,coasm_bin.261_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.262.gbff,coasm_bin.262_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.265.gbff,coasm_bin.265_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.268.gbff,coasm_bin.268_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.27.gbff,coasm_bin.27_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.271.gbff,coasm_bin.271_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.277.gbff,coasm_bin.277_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.278.gbff,coasm_bin.278_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.279.gbff,coasm_bin.279_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.28.gbff,coasm_bin.28_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.280.gbff,coasm_bin.280_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.286.gbff,coasm_bin.286_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.289.gbff,coasm_bin.289_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.290.gbff,coasm_bin.290_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.293.gbff,coasm_bin.293_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.298.gbff,coasm_bin.298_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.305.gbff,coasm_bin.305_bakta,Other,,11,unclassified bacterium,MAG,1,1
