genus,functional_category,in_prev_top10,plot_CAP1,plot_CAP2
midas_g_12777,,False,0.23922602315200925,0.027149096016058326
midas_g_12864,,False,-0.010208304045789549,0.09761424550640772
midas_g_12887,,True,0.2185678778465595,0.0017894638959374928
midas_g_13287,,False,0.08810525775819245,0.0855966319049046
midas_g_1334,,False,-0.1133122025256002,0.05739368449996685
midas_g_13682,,False,0.04251692318951594,0.05406873890762471
midas_g_1409,,False,0.03563668489098394,0.10139542606484185
midas_g_1421,,False,0.05498183299503252,0.013150903182025072
midas_g_14268,,False,0.25004275375288054,-0.049035478841317905
midas_g_14365,,False,-0.2352457192625517,-0.06108722517742155
midas_g_15015,,False,0.08184942371255316,0.052272679144294426
midas_g_155,,False,0.221219271469765,0.041407457084377514
midas_g_15976,,False,-0.21647356082989147,-0.04660675885240616
midas_g_16643,,False,0.24017152143368356,-0.028332498498855694
midas_g_171,,True,0.14702626275336236,0.11801801255490602
midas_g_17667,,False,0.07386420563959888,0.09655178458936493
midas_g_179,,False,0.08224129881374682,0.06123885226540299
midas_g_17912,,False,0.01625749678461921,0.03778095325694119
midas_g_18382,,False,0.062164988323640626,0.06407563896994505
midas_g_1955,,False,0.18985489913489892,0.03136899648340527
midas_g_201,,False,-0.05749355264223891,-0.10933533565925126
midas_g_2019,,True,0.18725484227063638,-0.029885884898683095
midas_g_2126,,False,0.17609431732627617,0.050976804930205025
midas_g_22263,,False,0.04209943341731998,0.04088950571350939
midas_g_225,,False,0.08977663377042279,0.07594773020718028
midas_g_23116,,False,-0.2546719801065969,0.0022618750946105347
midas_g_23270,,False,-0.010056288087170923,0.057035690202255004
midas_g_23286,,False,0.22064474574465626,0.05787932525314385
midas_g_2383,,False,0.19171942369981054,-0.024658503181759894
midas_g_23973,,False,0.16710365887245762,-0.039703940822550784
midas_g_2400,,False,0.24083932162212818,-0.0825828428575755
midas_g_2475,,False,0.019864112732891494,0.013536500570110965
midas_g_251,,False,-0.27693851846741496,-0.04246614327045857
midas_g_25177,,False,0.012878087376974712,0.04556895012369826
midas_g_26526,,False,0.006869679530652003,0.052877577103102674
midas_g_26667,,True,0.1933393719882085,-0.0625785053991777
midas_g_268,,False,-0.1804188132373558,0.042523864835976304
midas_g_27875,,False,0.03632837100237152,0.04985276871366962
midas_g_2835,,False,0.04886796532873702,0.09708286845571062
midas_g_2842,,False,-0.2231395004761048,0.08684432239024545
midas_g_29983,,False,0.09899630045174104,-0.03889587468127606
midas_g_30400,,False,-0.023454265339667574,0.09493049518612721
midas_g_30513,,False,-0.267426114294433,-0.04279714806987618
midas_g_31688,,True,0.19639953869162166,-0.07907455581493333
midas_g_3252,,False,0.03985539101541426,0.02524329214616843
midas_g_32820,,False,0.04564196279466009,0.04028779646038702
midas_g_3337,,False,0.019407373682927807,0.03292629655291408
midas_g_33416,,False,0.14490789761934875,-0.031478374336530675
midas_g_33468,,False,0.12141489477174515,0.0267260044391394
midas_g_3374,,False,0.08581996641623194,-0.03248766394377342
midas_g_34828,,False,0.14207405846659465,0.060919129909442864
midas_g_3487,,False,-0.14792760125149373,0.07659145358420338
midas_g_35446,,False,0.07753460558899482,0.014649487325406177
midas_g_36032,,False,0.20786734381155153,0.010638241575514983
midas_g_36081,,False,0.13573155592227865,0.11059028926984134
midas_g_36422,,True,0.13039452800554402,0.07348199033006718
midas_g_36733,,False,0.008231217960797817,0.025304009887155064
midas_g_36817,,False,-0.11943517466559626,0.029881066610168358
midas_g_38143,,False,0.029112920047063753,0.11712343198515723
midas_g_3838,,False,-0.2598905956167658,-0.036131427649820615
midas_g_3846,,False,0.16117543264749268,0.04884102951849535
midas_g_3943,,True,0.1455487370315092,-0.07050307337843838
midas_g_39476,,False,0.020885097497142156,0.022503702762018827
midas_g_41804,,True,0.07364567316340358,0.05005435064760381
midas_g_428,,True,-0.2860371001883841,-0.06330969368165139
midas_g_4299,,False,-0.03163686972680723,0.04067757565249549
midas_g_434,,False,-0.004398359446433779,0.03204588173191873
midas_g_43884,,False,0.02120129061382265,0.03745916938099543
midas_g_4708,,False,0.22605079823268456,-0.05674878394480638
midas_g_48042,,False,-0.07083864536580639,0.06399261352808902
midas_g_48622,,False,0.09026498020673847,-0.046292093248908504
midas_g_50918,,False,0.18396289760218548,0.03462690138660366
midas_g_5121,,False,0.034130456042130886,0.039614526533975424
midas_g_52,,False,0.1113775565457796,0.011242279891967522
midas_g_534,,False,-0.004212562698856696,-0.008776097738930799
midas_g_53756,,False,0.10264286875022688,-0.020918332269510977
midas_g_53968,,False,0.09733554290580883,0.04458742955454347
midas_g_5467,,False,0.19282063494239765,-0.09375969510375637
midas_g_547,,False,-0.2838474783052474,-0.028760061486065556
midas_g_54867,,False,0.006474786884052859,0.02798247640361105
midas_g_5535,,False,0.17260490502530285,-0.04972708219336168
midas_g_55441,,False,0.22786854100309137,-0.04732085082559436
midas_g_5621,,False,-0.03116578791903072,0.06303076407864198
midas_g_57689,,False,0.21307853341458258,-0.05793182211952391
midas_g_58094,,False,0.1049626805834094,-0.04682937265061446
midas_g_5914,,False,0.1592895979149513,-0.05958092023124333
midas_g_6092,,False,0.03922472193963222,0.07451082311553794
midas_g_61007,,True,0.11618629633134629,0.074326671653877
midas_g_6223,,False,0.18103248887968523,0.04390799819679121
midas_g_627,,False,0.04677381792050159,0.03341484137277254
midas_g_6489,,False,0.24385796700586138,-0.0002825918091538076
midas_g_67307,,False,0.04747509011290818,0.060921830668441895
midas_g_694,,False,-0.10177973386061838,-0.07835355726065822
midas_g_7101,,False,0.196965264739328,-0.08184094596770224
midas_g_71310,,True,0.20945526424991903,-0.013214881981439698
midas_g_7694,,False,0.1556336512936947,-0.0020243175471145944
midas_g_82802,,False,-0.16028385972964393,0.009405697299701398
midas_g_8282,,False,0.06975780728620064,0.06471591215592294
midas_g_83150,,False,0.07554806173794962,-0.009325918043017776
midas_g_84261,,False,0.045241724782379984,0.0325320645166472
midas_g_8637,,False,0.11990052755242456,-0.08847753695638871
midas_g_8672,,True,0.18440307690962976,0.023457246366728537
midas_g_86814,,False,0.10005945311411482,0.008956760144110891
midas_g_87066,,False,-0.14464499665045294,0.024785774739075936
midas_g_87076,,False,0.08773910837410885,-0.026419179293292957
midas_g_877,,False,0.08799513491929008,-0.044997577614385685
midas_g_94,,False,0.013906580537510071,0.02935072788198003
midas_g_945,,False,-0.03543763317832018,0.07719380499983768
midas_g_9628,,False,-0.263667529604459,0.010145170485181425
midas_g_973,,True,0.09889086079168191,-0.061311514152907705
midas_g_9818,,False,-0.2513566693484027,-0.06673729562412789
Ca_Competibacter,GAOs,True,-0.13006328789348764,0.06612111847428837
Defluviicoccus,GAOs,False,-0.2328496989120836,0.04630880436152588
Pseudomonas,Other PHA storing potential+ function,False,0.00102057920728875,0.018914067592216206
Azonexus,PAOs,False,0.08829753888946873,0.06657202122385852
Ca_Accumulibacter,PAOs,True,0.2505624311391781,0.020143382431124405
Amaricoccus,Putative GAOs,False,0.009884237697233003,0.02802388042093741
