organism,module,peak_phase,panel,vector,vector_main_phase,projection,cosine,abs_CAP,proj_rank,is_best_driver
midas_g_12887,M3,IV,performance,P removal [P%],V,0.2709,0.7607,0.3561,5,False
Ca_Caldilinea,M3,IV,performance,P removal [P%],V,0.2704,0.757,0.3572,6,False
Rhodoplanes,M3,V,performance,P removal [P%],V,0.2636,0.5722,0.4606,7,False
midas_g_2019,M3,V,performance,P removal [P%],V,0.2571,0.7029,0.3658,8,False
Ca_Sarcinithrix,M3,V,performance,P removal [P%],V,0.2564,0.5705,0.4493,9,False
midas_g_36422,M2,III,performance,P removal [P%],V,0.25,0.9716,0.2573,10,False
alphaI_cluster,M3,V,performance,P removal [P%],V,0.2295,0.5148,0.4458,11,False
midas_g_31688,M3,V,performance,P removal [P%],V,0.2175,0.5383,0.404,12,False
midas_g_8672,M2,IV,performance,P removal [P%],V,0.2145,0.844,0.2542,13,False
midas_g_61007,M2,IV,performance,P removal [P%],V,0.2126,0.9888,0.2151,14,False
midas_g_26667,M3,V,performance,P removal [P%],V,0.1905,0.5973,0.3189,15,False
midas_g_3943,M3,V,performance,P removal [P%],V,0.1585,0.5262,0.3012,16,False
Denitratisoma,M1,III,performance,P removal [P%],V,0.1213,0.4555,0.2662,17,False
midas_g_41804,M2,IV,performance,P removal [P%],V,0.108,0.9983,0.1082,18,True
midas_g_973,M2,V,performance,P removal [P%],V,0.0767,0.4721,0.1625,19,False
Aeromonas,M1,III,performance,P removal [P%],V,0.0501,0.9359,0.0535,20,False
Hydrogenophaga,M1,III,performance,P removal [P%],V,-0.0296,-0.3417,0.0866,21,False
Azospira,M1,II,performance,P removal [P%],V,-0.0311,-0.1207,0.2579,22,False
Dokdonella,M1,IV,performance,P removal [P%],V,-0.0661,-0.5557,0.119,23,False
Ca_Competibacter,M1,II,performance,P removal [P%],V,-0.0847,-0.2997,0.2826,24,False
Pseudoxanthomonas,M1,I,performance,P removal [P%],V,-0.3284,-0.7953,0.4129,25,False
Zoogloea,M1,I,performance,P removal [P%],V,-0.4246,-0.8907,0.4767,26,False
Sediminibacterium,M1,I,performance,P removal [P%],V,-0.4694,-0.914,0.5135,27,False
midas_g_428,M1,I,performance,P removal [P%],V,-0.4872,-0.9082,0.5364,28,False
Thauera,M1,I,performance,P removal [P%],V,-0.5035,-0.8846,0.5692,29,False
midas_g_171,M2,IV,performance,peakN2O [mg/L],IV,0.3018,0.9608,0.3142,1,False
Ca_Accumulibacter,M3,V,performance,peakN2O [mg/L],IV,0.284,0.5932,0.4787,2,False
Lysobacter,M2,IV,performance,peakN2O [mg/L],IV,0.2511,0.8803,0.2853,3,False
midas_g_36422,M2,III,performance,peakN2O [mg/L],IV,0.2173,0.8446,0.2573,4,False
midas_g_61007,M2,IV,performance,peakN2O [mg/L],IV,0.1911,0.8887,0.2151,5,False
Denitratisoma,M1,III,performance,peakN2O [mg/L],IV,0.1908,0.7167,0.2662,6,True
midas_g_12887,M3,IV,performance,peakN2O [mg/L],IV,0.1826,0.5127,0.3561,7,False
midas_g_71310,M3,V,performance,peakN2O [mg/L],IV,0.1818,0.4468,0.4069,8,False
Ca_Caldilinea,M3,IV,performance,peakN2O [mg/L],IV,0.1814,0.5077,0.3572,9,False
midas_g_2019,M3,V,performance,peakN2O [mg/L],IV,0.1602,0.4379,0.3658,10,False
midas_g_8672,M2,IV,performance,peakN2O [mg/L],IV,0.1596,0.6276,0.2542,11,False
Rhodoplanes,M3,V,performance,peakN2O [mg/L],IV,0.1287,0.2794,0.4606,12,False
