parameter,ASV,rho,p_value,q_value,n,abs_rho
A_time [minutes],Sphingopyxis.14,0.7970546290384546,1.1881308828548059e-17,4.07717111572918e-15,75,0.7970546290384546
Ax_time [minutes],Emticicia.1,-0.7960913989756578,1.3865249333758353e-17,4.665589093774085e-15,75,0.7960913989756578
A_time [minutes],Emticicia.1,0.7960913989756578,1.3865249333758353e-17,4.665589093774085e-15,75,0.7960913989756578
Ax_time [minutes],Ca_Contendobacter.2,-0.7948641690667856,1.6859856541298198e-17,5.565197789189087e-15,75,0.7948641690667856
A_time [minutes],Ca_Contendobacter.2,0.7948641690667856,1.6859856541298198e-17,5.565197789189087e-15,75,0.7948641690667856
Ax_time [minutes],Holophagaceae.1,-0.7945334901714001,1.7768015956474397e-17,5.7553426638826744e-15,75,0.7945334901714001
A_time [minutes],Holophagaceae.1,0.7945334901714001,1.7768015956474397e-17,5.7553426638826744e-15,75,0.7945334901714001
Ax_time [minutes],Terrimonas.24,-0.7929755813671426,2.2721047812203202e-17,7.224667854340834e-15,75,0.7929755813671426
A_time [minutes],Terrimonas.24,0.7929755813671426,2.2721047812203202e-17,7.224667854340834e-15,75,0.7929755813671426
Ax_time [minutes],Defluviicoccus.6,-0.7927222650003727,2.3643193995317205e-17,7.382427573727018e-15,75,0.7927222650003727
A_time [minutes],Defluviicoccus.6,0.7927222650003727,2.3643193995317205e-17,7.382427573727018e-15,75,0.7927222650003727
Ax_time [minutes],Proteiniclasticum.1,-0.7916783407338526,2.7839172082690376e-17,8.305011749792664e-15,75,0.7916783407338526
A_time [minutes],Proteiniclasticum.1,0.7916783407338526,2.7839172082690376e-17,8.305011749792664e-15,75,0.7916783407338526
Ax_time [minutes],Rhodobacteraceae.16,-0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
Ax_time [minutes],Micavibrionales.3,-0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
Ax_time [minutes],Thauera.81,-0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
