parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed,rho_partial,p_partial,n_partial,q_partial,time_robust
Ax_time [minutes],midas_g_17492.1,-0.8228097102553009,1.3673713583334023e-19,75,-0.8228097102553009,1.3673713583334023e-19,75,9.025850413560396e-17,6.807773019918333e-17,True,-0.4962279177030327,5.968075185151526e-06,75,0.00013513917373274146,True
Ax_time [minutes],Pseudoxanthomonas.6,-0.8210179398437802,1.9085226701192805e-19,75,-0.8210179398437802,1.9085226701192805e-19,75,1.2170875502243716e-16,9.209649549378668e-17,True,-0.4924157205834564,7.210063584527164e-06,75,0.00015110452405870758,True
Ax_time [minutes],midas_g_4464.1,-0.8204829668875453,2.1067926027762525e-19,75,-0.8204829668875453,2.1067926027762525e-19,75,1.2195087950685616e-16,9.307275602630975e-17,True,-0.4685438732739244,2.240519839076278e-05,75,0.0003772499216222451,True
Ax_time [minutes],Flavobacterium.11,-0.8204829668875453,2.1067926027762525e-19,75,-0.8204829668875453,2.1067926027762525e-19,75,1.2195087950685616e-16,9.307275602630975e-17,True,-0.4910256464689272,7.720291402557509e-06,75,0.00015842681315664887,True
Ax_time [minutes],Flavobacterium.25,-0.820780117059311,1.9943299911155628e-19,75,-0.820780117059311,1.9943299911155628e-19,75,1.2195087950685616e-16,9.307275602630975e-17,True,-0.41778523138349977,0.00019189714681724782,75,0.0017746402921317444,True
Ax_time [minutes],Dokdonella.4,-0.8194600310395226,2.542753040689881e-19,75,-0.8194600310395226,2.542753040689881e-19,75,1.4279266142680115e-16,1.09254783389423e-16,True,-0.5097264268639489,2.9995066311749354e-06,75,8.689747152080327e-05,True
Ax_time [minutes],Gemmatimonas.2,-0.8180854439763232,3.267826340846782e-19,75,-0.8180854439763232,3.267826340846782e-19,75,1.781912551802321e-16,1.366648546760002e-16,True,-0.49960969108814063,5.036983202790845e-06,75,0.00012338381201789283,True
Ax_time [minutes],midas_g_547.7,-0.8163442134310074,4.4767837653549435e-19,75,-0.8163442134310074,4.4767837653549435e-19,75,2.3073834133079423e-16,1.777453159292698e-16,True,-0.46806330435921345,2.290282352560713e-05,75,0.0003797312924707183,True
Ax_time [minutes],midas_g_1194.1,-0.8163442134310074,4.4767837653549435e-19,75,-0.8163442134310074,4.4767837653549435e-19,75,2.3073834133079423e-16,1.777453159292698e-16,True,-0.4690204507775695,2.1921671022354715e-05,75,0.00037229044753481715,True
Ax_time [minutes],midas_g_251.1,-0.8158561832396831,4.886783837452214e-19,75,-0.8158561832396831,4.886783837452214e-19,75,2.451536558455194e-16,1.892331627722545e-16,True,-0.46586548784383497,2.5312679227720317e-05,75,0.00041211552131081836,True
Ax_time [minutes],Amaricoccus.2,-0.8143139220237293,6.435084198179118e-19,75,-0.8143139220237293,6.435084198179118e-19,75,3.144416142292069e-16,2.431841577832364e-16,True,-0.446409710998675,5.960139383190422e-05,75,0.0007933428773571035,True
Ax_time [minutes],Hydrogenophaga.1,-0.8127578803386521,8.472956004660175e-19,75,-0.8127578803386521,8.472956004660175e-19,75,4.035379362978975e-16,3.126620447554953e-16,True,-0.4205038345681123,0.00017248917699674385,75,0.0016258549219310306,True
