ko	mag	iterativeID	genus	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
K00371	coasm_bin.153	Phycisphaeraceae.20	JAFEBO01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.156	Saprospiraceae.3	M3007	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.157	Gammaproteobacteria.1_m	SHZI01	0.8920	0.6716	0.6907	0.0963	0.0724
K00371	coasm_bin.161	Planctomycetota.9	UBA2392	2.2441	0.7961	0.6238	0.0000	0.0000
K00371	coasm_bin.171	Inhella.1_m	Inhella	0.8478	0.6703	1.0723	0.1922	0.0482
K00371	coasm_bin.178	Ancalomicrobiaceae.2_m	CALBKH01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.181	Anaerolineae.1_m	JAAEKA01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.183	Gemmatimonas.3	JAABRT01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.185	Accumulibacter.4_m	Accumulibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.188	Bacteroidales.13	UBA5072	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.196	Beijerinckiaceae.3_m	JAIUNP01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.2	Ottowia.1_m	Ottowia	2.5187	2.3232	1.1377	2.4738	0.8592
K00371	coasm_bin.201	Prosthecobacter.1_m	Prosthecobacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.202	Albidovulum.1_m	Albidovulum	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.203	Fuscibacter.1_m	Fuscibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.206	Oligoflexia.6	JAIEMT01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.207	Treponematales.1_m	UBA5200	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.208	Niveibacterium.1_m	Niveibacterium	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.209	Herpetosiphon.1_m	Herpetosiphon	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.213	Flavipsychrobacter.3_m	Flavipsychrobacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.214	Desulfobacillus.2_m	Desulfobacillus	0.2920	0.0000	0.1319	0.0000	0.0000
K00371	coasm_bin.215	Chiayiivirga.1_m	Chiayiivirga	2.7491	3.3810	3.9738	0.6923	0.0000
K00371	coasm_bin.218	Micropepsaceae.1_m	JADZAI01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.219	Paracoccus.1_m	Paracoccus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.22	Leptolinea.1_m	Leptolinea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.221	Microgenomatia.2_m	1-14-0-10-56-10	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.222	Zoogloea.3_m	Zoogloea	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.223	Rhodocyclaceae.1_m	UBA1934	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.226	Arenimonas.1_m	Arenimonas	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.231	Bryobacter.8	JACTMJ01	1.2132	0.1142	0.5480	1.1785	0.1478
K00371	coasm_bin.233	Gammaproteobacteria.7	SHZI01	1.1468	1.3433	2.5326	0.1925	0.0000
K00371	coasm_bin.237	Holophaga.2_m	Holophaga	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.238	Rhodothermaceae.5	BA12	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.24	Absconditicoccaceae.1_m		0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.240	Villigracilis.2_m	Villigracilis	0.0000	0.0000	1.5613	3.0816	0.6988
K00371	coasm_bin.246	Sulfuricystis.1_m	Sulfuricystis	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.248	Neotabrizicola.1_m	Neotabrizicola	0.0000	0.4283	0.2937	0.2456	0.8316
K00371	coasm_bin.249	Giesbergeria.2_m	Giesbergeria	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.25	Paceibacteria.3_m	UBA9973	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.250	Accumulibacter.5_m	Accumulibacter	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.251	Competibacter_A.3_m	Competibacter_A	0.0000	0.0000	0.0000	2.8789	0.6747
K00371	coasm_bin.255	Hydrogenophaga.1_m	Hydrogenophaga	1.1187	0.4914	1.3475	0.7043	0.1060
K00371	coasm_bin.256	Azonexus.3_m	Azonexus	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.258	Sandaracinus.1	JAEUKH01	0.0000	0.0000	0.0000	0.0000	0.0000
K00371	coasm_bin.259	Mariniflexile.1_m	Mariniflexile	0.0000	0.0000	0.0000	0.0000	0.0000
