root_iterativeID	n_MAGs	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
Phaeodactylibacter	1	UBA2329	2.6171	0.0000	0.0000	2.2794	0.0000	0.0000	0.0000	1.9267	2.5744	0.0000	2.8849	1.7255	0.0000	5.8661	0.0000	1.9636	1.6146	0.0000	0.0000	0.0000	8.8779	0.0000	1.7501	1.7091	2.6592	0.0000	0.0000	0.0000	0.0000	0.0000	6.1338	0.0000	0.0000	0.0000	2.4960	6.0575	0.0000	9.5130	0.0000	0.0000	0.0000	3.1827
CALBKH01_m	1	CALBKH01	1.1596	0.7011	5.8614	0.0000	0.0000	0.0000	0.0000	2.9862	5.3728	0.0489	1.0735	1.2930	0.5466	0.3575	3.7760	3.0246	0.0000	0.0000	0.0000	0.0000	3.1058	0.0000	2.2581	0.7195	3.5262	1.1119	0.3448	1.6571	1.7291	1.7667	2.7812	0.6519	1.5550	0.0000	1.8175	1.1475	7.4155	1.4295	3.6644	0.5755	0.0000	2.1754
Rhodoplanes	1	SCUB01	1.0326	2.2904	0.0000	0.0000	0.0000	0.0000	6.2962	1.6598	7.5838	0.0000	2.1490	1.4481	0.0000	4.9650	0.0000	1.1163	0.0000	0.0000	0.0000	0.0000	4.1398	3.1391	4.2924	0.8633	1.2068	1.2235	1.2857	1.1958	1.5975	1.2923	0.0000	3.3510	0.9000	0.0000	2.1776	0.0000	1.2544	1.4616	1.6233	3.6807	0.0000	0.9237
Desulfobacillus_m	1	Desulfobacillus	4.0747	1.1491	3.6203	0.0000	0.0402	0.0736	0.0000	1.5637	15.9504	0.0000	0.9019	0.9298	0.0000	1.0137	0.0000	1.5145	0.0000	0.0000	0.0000	0.0000	1.5594	0.5041	3.8140	1.8187	0.0000	1.7827	1.2367	1.4810	1.8566	1.3740	0.0000	0.6411	2.0217	0.0000	3.5765	1.6484	5.5820	1.7047	2.0552	0.0000	0.0000	0.0000
Phreatobacter_m	2	Phreatobacter	1.6084	0.7266	0.0000	0.1320	1.4142	1.4655	1.8036	0.0000	6.8172	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3313	0.0000	0.0000	0.0000	0.0000	0.8917	0.0000	6.9270	4.8042	22.2496	0.9817	0.6973	1.1955	1.0475	1.5927	0.0000	0.0000	0.0000	0.0000	1.4313	0.0000	1.7886	0.8250	1.1939	0.0000	0.0000	0.8786
Arenimonas	4	Chiayiivirga	3.3091	0.0000	0.0000	4.4264	1.9218	2.2791	1.4139	0.0000	4.0637	3.3353	0.0000	0.0000	0.0000	0.0000	9.8819	1.4366	0.1194	0.0000	2.0160	1.9316	0.0000	0.0000	1.7175	0.1041	0.0000	1.2548	0.6963	2.6180	0.8769	2.4747	0.2497	0.0000	0.0000	0.0000	1.3200	2.8214	1.3805	2.5295	1.5182	1.9683	0.0000	2.1852
UBA1573_m	3	UBA1573	20.9292	0.0000	0.0000	0.0000	0.2389	0.4345	0.5742	0.0000	0.7994	0.6917	0.0000	0.0000	0.0000	0.0000	20.8578	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6100	0.0000	1.1977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.2637	0.0000	0.4231	0.0000	0.0000	0.0000	0.0000	0.0000
Rhizobiaceae	2	Mesorhizobium_A	2.2047	0.0000	0.0000	2.2431	0.4361	0.4563	0.8296	0.4331	6.8002	0.0000	1.2404	0.8778	0.0000	0.3206	0.6757	2.0369	0.0000	0.0000	0.0000	0.0000	1.4419	0.3558	5.9924	0.8817	12.9001	3.7814	1.1417	1.5988	2.8840	1.1924	0.0000	0.3700	0.5533	0.0000	1.3349	0.0000	0.9872	0.7456	1.8574	0.0000	0.0000	2.1133
UBA2796_m	1	UBA2796	0.0000	0.0000	0.0000	1.1097	0.0000	0.0000	0.0000	3.6584	0.6883	0.0000	1.3747	3.2313	1.8585	3.0700	0.0000	3.3920	2.6530	0.0000	0.0000	0.0000	0.9180	2.3914	1.0511	0.0000	9.7711	1.5417	0.8006	0.7638	3.9903	2.4819	3.1681	0.0000	0.0000	1.2973	0.0000	0.0000	0.0000	3.1709	3.2115	0.0000	0.4994	0.8996
UBA1924_m	2		0.0000	0.0000	1.0696	0.0000	0.0000	0.0000	0.0000	0.0000	4.0732	0.0000	1.5288	3.7782	1.2385	0.0000	0.0000	1.9605	0.0000	1.1552	0.0000	1.3333	7.0236	0.7113	2.7303	0.0000	2.8936	1.7898	1.9525	1.7596	4.8293	1.5115	0.0000	0.0000	0.0000	3.2111	0.0000	0.0000	0.0000	1.3744	2.0059	0.0000	4.0365	0.0000
JACTMZ01_m	4	JACTMZ01	0.0000	0.0000	0.2263	0.5747	0.0000	0.0000	0.0000	0.8839	0.0000	0.0000	0.9173	6.0841	0.0000	1.6118	0.0000	2.6156	0.8147	0.0000	0.0000	0.0000	6.3300	0.0000	7.1141	0.0000	1.5849	2.6504	2.2200	2.5573	3.0619	3.5978	0.0000	0.0000	0.0000	0.0000	0.4722	0.0000	0.0000	0.7353	0.0000	4.8687	0.0000	0.3144
BA9_m	1	BA9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5029	0.7182	0.0000	2.1462	0.9663	2.5957	2.2283	2.5755	0.8062	3.1548	0.0000	0.0000	2.3472	4.6014	0.8128	3.6870	0.0000	0.0000	2.1912	0.4796	0.8609	1.1610	1.8950	0.0000	0.0000	0.0000	7.8173	0.0000	0.0000	0.0000	4.5216	0.0000	0.0000	0.6427	0.0000
PHOS-HE28_m	2	PHOS-HE28	1.8665	0.0000	5.6941	2.4206	0.0000	0.0000	0.0000	3.3193	1.8915	0.0000	0.0000	0.0000	0.0000	1.8239	0.0000	3.9517	0.0000	0.0000	0.0000	0.0000	1.0410	0.0000	6.0760	0.0000	0.1407	0.0000	0.0000	0.0000	0.0000	0.1730	1.8780	0.0000	0.0000	0.0000	0.0000	4.4940	0.0000	11.3878	0.0000	0.0000	0.0000	2.1150
UBA6663_m	1	UBA6663	0.0000	0.0000	0.7919	1.3795	0.0000	0.0000	0.0000	0.4368	3.2713	0.0000	0.8001	1.6394	0.8769	0.8175	1.1888	0.4999	0.2101	0.0000	0.0000	0.0000	0.2615	1.6407	4.5110	0.0000	13.8073	0.3664	0.2942	0.8130	1.5201	0.6166	3.2528	0.0000	0.0000	0.5853	0.0000	0.0000	0.0000	2.5711	1.7504	0.3679	0.9773	0.0000
Taibaiella	1	Flavipsychrobacter	4.9260	0.0000	0.0000	9.1564	0.0000	0.0000	0.0000	3.5634	3.4743	0.0000	0.0000	0.0000	0.0000	3.4235	0.0000	2.1650	0.0000	0.0000	0.0000	0.0000	0.0000	1.3671	1.0094	0.0000	0.7492	0.0000	0.0000	0.0000	0.0000	1.8340	4.0858	0.0000	0.0000	0.0000	3.8420	1.7132	0.0000	2.5440	0.0000	0.0000	0.0000	0.0000
JADKHR01_m	1	JADKHR01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.9175	0.7538	1.2762	0.7534	0.0000	1.6936	0.6794	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1119	5.6071	3.2716	3.2410	1.1445	5.1251	1.5581	0.0000	0.0000	1.3184	0.0000	4.5407	0.0000	0.0000	4.4460	0.0000	1.5617	0.0000
Sulfuritalea	2	Azospira_A	1.7838	3.7237	2.1294	0.0000	0.0000	0.0000	0.0000	1.1225	3.5814	1.7823	0.1046	0.7822	0.0000	0.0000	1.2307	1.8393	1.0102	0.0000	0.0000	0.0000	0.1905	0.0000	1.1478	0.6236	0.0000	0.5013	0.8766	0.7875	0.6034	1.5228	1.9558	0.4940	2.7996	0.0000	2.8210	0.7740	0.0000	0.7285	3.6547	1.4928	0.0000	1.6983
Rhabdaerophilum_m	1	Rhabdaerophilum	1.3650	0.8776	0.6469	0.0000	1.2741	0.7622	1.1522	0.0000	3.1790	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.2180	0.0000	0.0000	0.0000	0.0000	1.3414	0.0000	3.0576	0.6582	12.8080	0.8114	0.8082	0.9930	0.8045	0.8998	0.0000	0.0000	0.0000	0.0000	0.6701	0.0000	1.0188	1.0169	1.4589	0.0000	0.0000	2.3220
Chelatococcus_asaccharovorans	1	Chelatococcus	0.3291	0.2769	0.2607	0.0000	0.0000	0.0000	0.0000	0.2615	4.2944	3.8903	0.0000	0.2194	0.0000	0.1221	3.5723	0.2275	0.2163	0.0000	0.0000	0.0000	0.2878	0.0000	0.2428	0.0000	19.1525	0.3620	0.3544	0.3342	0.3094	0.9713	0.0000	0.0000	0.0000	0.0000	2.6243	0.0000	0.3953	0.3724	0.6502	0.0000	0.0000	0.2845
P3OB-42	1	JAEUJQ01	0.0000	0.0000	0.9174	3.0633	1.9703	1.8701	0.0000	0.6866	2.7195	0.7267	2.0895	1.8721	0.0000	5.3784	0.9890	0.8150	1.0921	0.0000	0.0000	0.0000	0.0000	1.8091	0.7077	0.0000	1.2417	0.0000	0.0000	0.0000	0.0000	0.0000	1.3070	0.0000	0.0000	0.8495	1.5011	1.0235	0.0000	1.9394	3.2571	0.0000	1.7553	0.0000
Gemmobacter	1	Gemmobacter	0.6896	0.3478	1.3576	0.0000	0.0000	0.0000	0.0000	0.4392	5.4892	1.0371	0.9757	0.9363	0.0000	0.9403	1.3409	0.4589	0.2064	0.0000	0.0000	0.0000	0.7889	0.0000	3.2528	0.4131	8.0349	0.8010	1.0074	0.7137	1.0344	1.0996	1.0956	0.0000	0.0000	0.0000	1.2385	0.5092	0.4117	0.5871	0.8786	0.3202	0.0000	2.6510
JACRCT01_m	1	JACRCT01	0.6719	1.3242	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0744	0.0000	0.7061	0.6973	0.0000	2.2287	0.0000	1.0344	0.4393	0.0000	0.0000	0.0000	1.0290	1.0290	0.0000	0.0000	3.4178	1.3739	0.7562	1.2160	1.4224	2.2593	0.0000	0.0000	0.0000	1.0861	1.5774	0.0000	0.0000	4.6432	3.3700	0.0000	1.8325	0.8093
