root_iterativeID	n_MAGs	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
Ch132_m	1	Ch132	0.0000	0.0000	0.3323	0.0000	0.0000	0.0000	0.0000	0.0000	0.1745	0.0000	0.0000	0.0000	0.0000	0.2617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2586	0.2586	0.0000	0.0000	0.6149	1.0914	1.0017	1.9552	0.3845	1.4325	0.0000	0.0000	0.0000	0.3472	0.0000	0.0000	0.0000	0.2921	1.1013	0.0000	0.4276	0.0000
Leptolinea	1	Leptolinea	0.0000	0.0000	0.0000	0.1238	0.0000	0.0000	0.0000	0.0000	1.2578	0.0000	0.4475	0.0000	0.0886	0.2431	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.9822	0.5172	0.3117	0.6901	0.0000	0.4666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7128	0.8698	0.0000	0.0000	0.2151
Blastopirellula	1	M30B19	0.0000	0.0000	0.2613	0.0000	0.0000	0.0000	0.0000	0.0000	0.4959	0.0000	0.1489	1.0032	0.0823	0.1554	0.9815	0.2139	0.1427	0.0000	0.7363	0.2187	0.0000	0.0000	1.7687	0.0000	0.3546	0.3682	0.2860	0.3304	0.3682	0.3405	0.0000	0.0000	0.0000	0.3570	0.0000	0.0000	0.0000	0.2101	0.1737	0.0000	0.1574	0.0000
midas_g_2947	1	Arctic95D-9	0.4858	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7161	0.0000	0.2038	0.6677	0.0000	0.0000	0.0000	0.3035	0.2490	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0316	0.6185	0.4552	1.3542	0.2236	0.7113	0.6179	0.0000	0.0000	0.0000	0.0000	0.4111	0.0000	0.2922	0.3041	0.0000	0.0000	0.2778
JABWBB01_m	1	JABWBB01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6015	0.5871	0.0000	0.0000	0.2489	0.1660	0.0000	0.0000	0.7555	0.0000	0.0000	0.0000	0.6530	0.3778	0.1902	0.2616	0.0000	0.2075	0.5642	0.3872	0.4728	1.1660	0.3464	0.0000	0.0000	0.0000	0.2344	0.0000	0.0000	0.0000	0.0000	0.9202	0.0000	0.6815	0.0000
CAIVAT01_m	1	CAIVAT01	0.1270	0.0000	0.0000	0.0000	0.4546	0.0000	0.1803	0.0000	0.2645	0.2986	0.3481	0.2232	0.0000	0.2295	0.1659	0.6148	0.0000	0.0000	0.0949	0.0000	1.2267	0.2599	0.1657	0.0000	0.2293	0.1995	0.1463	0.1069	0.0000	1.0491	0.0000	0.0000	0.0000	0.1107	0.0000	0.9569	0.0000	0.7219	0.0000	0.0000	0.3684	0.1227
Flavitalea	1	JJ008	0.2204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3662	0.4394	0.0000	1.4481	0.4459	0.0000	0.5962	0.0000	1.2085	0.0000	0.0000	0.0000	0.0000	0.5866	0.7384	0.5053	0.0000	0.2396	0.0000	0.0000	0.0000	0.0000	0.2089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5783	0.0000	0.0000	0.0000	0.0000
Salinispiraceae_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1852	0.0000	0.5729	0.1413	0.1694	0.3351	0.2940	0.0000	1.7436	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1003	0.0000	0.0000	0.0000	0.3463	1.0918	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3666	0.0000	0.0000	0.8395
UBA2386_m	1	UBA2386	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4201	0.7879	0.0000	0.2311	0.0000	0.0000	0.6265	0.0000	0.5344	0.0000	0.0000	0.0000	0.0000	0.1515	0.0000	0.4470	0.0000	0.4200	0.5653	0.4326	0.4173	0.4487	0.8511	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9896	0.7044	0.0000	0.0000	0.0000
JADLGF01_m	1	JADLGF01	0.0000	0.0000	0.0000	0.0996	0.0000	0.0000	0.0000	0.0945	0.0905	0.0000	0.1256	0.0000	0.0000	0.0000	0.0000	0.0000	0.4042	0.0000	0.0000	0.0000	0.0000	0.0617	0.2457	0.0000	3.9342	0.2306	0.2556	0.6658	0.9801	0.3121	0.0000	0.3394	0.0000	0.0000	0.0000	0.0000	0.0000	0.1207	0.0000	0.0000	0.0000	0.0000
midas_g_94	1		0.7228	0.1069	0.3549	0.0000	0.1274	0.1807	0.1581	0.0000	0.6863	0.0000	0.0000	0.0000	0.0000	0.0000	0.1470	0.1394	0.0000	0.0000	0.0000	0.0000	0.1442	0.0000	0.1104	0.2107	0.0000	0.3389	0.2374	0.3569	0.2213	0.2284	0.0000	0.1145	0.1420	0.0000	0.6031	0.0000	1.1377	0.7956	0.1668	0.0000	0.0000	0.0000
midas_g_9628	1	UBA1930	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5946	0.6913	0.0000	0.3148	0.8583	0.0000	0.9411	0.2422	0.6866	0.0000	0.0000	0.0000	0.0000	0.0000	0.5594	0.2823	0.0000	0.1049	0.0000	0.0000	0.0000	0.0000	0.6669	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3168	0.0000	0.0000	0.0000	0.0000
JAFLCM01_m	1	JAFLCM01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7209	0.3675	0.0000	0.3547	0.1118	0.2460	0.0000	0.0000	0.0000	0.0000	0.0000	1.1062	0.0000	0.0000	0.6475	0.1629	0.0000	0.1266	0.1560	0.0000	0.4259	0.4129	0.1701	0.0000	0.0000	0.0000	0.2351	0.0000	0.0000	0.0000	0.1788	0.4241	0.0000	0.1755	0.0000
Leptonema_m	1	Leptonema	0.2130	0.1149	0.3206	0.0000	0.0000	0.0000	0.0000	0.1283	1.8317	0.0000	0.2818	0.0000	0.0000	0.0000	0.0000	0.0000	0.7498	0.0000	0.0000	0.0000	0.2862	0.0000	0.4299	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4463	0.6000	0.0000	0.0000	0.0000	0.0000	0.1744	0.0000	0.1889	0.0000	0.0781	0.0000	1.0375
midas_g_17587	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3234	0.0000	0.0000	0.4337	0.0000	0.0000	0.0000	0.4147	0.0000	0.0000	0.5900	0.5739	0.5629	0.5260	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4071	0.0000	0.4881	0.8500	0.1957	0.0000	0.1967
Herpetosiphon	1	Herpetosiphon	0.0000	0.0000	0.0000	0.6256	0.0000	0.0000	0.0000	0.0000	0.1316	0.0000	0.5109	0.0774	0.0000	0.2398	0.0000	0.6992	0.0000	0.0000	0.0000	0.0000	0.0000	0.9823	0.0000	0.0000	1.5252	0.5478	0.1349	0.1042	0.5840	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4754	0.0000	0.0000	0.0000	0.0000
UBA2396_m	1	UBA2396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3767	0.4706	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4333	0.0000	0.0000	0.0000	0.4853	0.6254	0.0000	0.6979	0.0000	0.0000	0.5257	0.2103	0.2904	0.7161	0.4119	0.3527	0.0000	0.0000	0.4665	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4375	0.0000
Mariniflexile_m	1	Mariniflexile	0.0000	0.0000	0.0000	0.4704	0.0000	0.0000	0.0000	0.2104	0.1293	0.0000	1.2592	0.2694	0.0000	0.3218	0.2560	0.0000	0.3291	0.0000	0.0000	0.0000	0.7603	0.0000	0.0000	0.0000	0.1237	0.0000	0.0000	0.0000	0.0000	0.0000	0.5493	0.0000	0.0000	0.2504	0.0000	0.2592	0.0000	1.3003	0.0000	0.0000	0.0000	0.0000
SCN-52-12_m	1	SCN-52-12	0.1194	0.0000	0.0000	0.2911	0.0000	0.0000	0.0000	0.1403	0.3088	0.0000	0.3464	0.3329	0.0000	0.3010	0.0000	0.3836	0.1942	0.0000	0.3368	0.2995	0.0000	0.0000	0.2414	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0918	0.1910	0.0000	0.0000	0.0000	0.0000	0.2497	0.0000	1.6303	0.0000	0.0000	0.0000	0.0000
Brevundimonas_m	1	Brevundimonas	0.3291	0.0000	0.0000	0.0000	0.1211	0.1221	0.3319	0.0000	1.0161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1381	0.0000	0.0000	0.0000	0.0000	0.2850	0.0000	0.4565	0.0000	0.0000	0.4984	0.2570	0.3586	0.5959	0.0000	0.0000	0.0000	0.0000	0.0000	0.4582	0.0000	0.2914	0.2252	0.5015	0.0000	0.0000	0.3407
Rurimicrobium	1	Flavipsychrobacter	0.9979	0.0000	0.0000	0.4583	0.0000	0.0000	0.0000	0.1320	0.2948	0.0000	0.5441	0.0000	0.0000	0.1797	0.0000	0.3072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0839	0.0000	0.0000	0.1183	0.0000	0.0000	0.0000	0.0000	1.1479	0.8228	0.0000	0.0000	0.0000	0.3117	0.1316	0.0000	0.4390	0.0000	0.0000	0.0000	0.0000
Flavipsychrobacter_m	1	Flavipsychrobacter	0.5320	0.0000	0.0000	0.7678	0.0000	0.0000	0.0000	0.8095	0.2824	0.0000	0.3049	0.0000	0.0000	0.1865	0.0000	0.1707	0.0000	0.0000	0.0000	0.0000	0.0000	0.1817	0.4023	0.0000	0.2234	0.0000	0.0000	0.0000	0.0000	0.0000	0.2309	0.0000	0.0000	0.0000	0.6153	0.4425	0.0000	0.7876	0.0000	0.0000	0.0000	0.0000
JAKRSD01_m	1	JAKRSD01	0.4117	0.0000	0.0000	0.0952	0.0000	0.0000	0.0000	0.0000	0.5819	0.0000	0.0000	0.0000	0.0000	0.3907	0.0000	0.2099	0.0000	0.0000	0.0000	0.0000	1.1713	0.0000	1.1536	0.0000	0.0722	0.0000	0.0000	0.0000	0.0000	0.0720	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2294	0.0000	0.0000	0.0000	0.0000
JACDQM01_m	1	JACDQM01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4061	0.0000	2.4247	0.0000	1.0603	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Runella_m	1	Runella	0.1347	0.2298	0.3204	0.0000	0.0000	0.0000	0.0000	0.0000	2.3183	0.0000	0.0000	0.6708	0.0000	0.2950	0.0000	0.0764	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1324	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2705	0.0000	0.0000	0.0000	0.0000
JAEUWI01_m	1	JAEUWI01	0.0000	0.0000	1.3446	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5680	0.2893	0.0000	0.1185	0.0000	0.3542	0.0000	0.0000	0.1165	0.5363	0.0000	0.0000	0.0000	0.0000	0.2292	0.1288	0.2438	0.1489	0.1567	0.2018	0.1629	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2213	0.0000	0.0000	0.0000
Fimbriimonadaceae_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1234	0.0000	0.4652	0.0000	0.4653	0.1043	0.0000	0.8107	0.0000	0.0000	0.0000	0.0000	0.1896	0.0000	1.5798	0.0000	0.1233	0.2202	0.1458	0.1023	0.0383	0.1827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1149	0.0000	0.0000	0.0000	0.0000
Xanthomonadaceae	1	Pseudoxanthomonas_B	0.2345	0.0000	0.0000	0.2270	0.0000	0.0000	0.0000	0.0000	0.3562	0.2175	0.0000	0.0000	0.0000	0.0000	0.2006	0.1138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1668	0.0000	0.0000	0.3569	0.1782	0.2986	0.1833	0.2256	0.0000	0.0000	0.0000	0.0000	0.1825	1.0388	0.0000	0.0968	0.2204	0.0000	0.0000	0.3488
Phnomibacter_m	1	Phnomibacter	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2069	0.6044	0.0000	0.1174	0.9815	0.0000	0.2370	0.1137	0.1426	0.0000	0.0000	0.0000	0.0000	0.0000	0.1379	0.1437	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3978	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5058	0.0000	0.0000	0.0000	0.0000
midas_g_251	1	SCUB01	0.0598	0.2468	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9418	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0821	0.0000	0.0000	0.0000	0.0000	0.0000	0.4197	0.4457	0.2449	0.4618	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0862	0.3643	0.0000	0.1684	0.0000	0.2130	0.0000	0.0000	0.0000	0.0000	0.0000
CALMUP01_m	1	CALMUP01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2368	1.5755	0.0000	0.4972	0.0000	0.0000	0.0000	0.0000	0.2517	0.2263	0.0000	0.0000	0.1199	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3869	0.0000	0.0000	0.0000	0.0899	0.2211	0.0000	0.0000	0.0000
UBA1934_m	1	UBA1934	0.0000	0.0791	0.4650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3388	0.0000	0.0000	0.0000	0.0000	0.1094	0.0000	0.1679	0.0000	0.0000	0.1942	0.1164	0.1887	0.2185	0.1316	0.0000	0.3480	0.0000	0.0000	0.1166	0.0000	0.0000	0.1512	0.2529	0.0000	0.0000	0.0000
Chlorobium	1	Chlorobium	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0924	0.0000	0.0000	0.0421	0.0000	0.0812	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0762	0.0000	0.5266	0.4168	0.1267	0.2197	0.4137	0.2588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1327	0.0000	0.0000	0.0000	0.0000
JAIEMT01_m	1	JAIEMT01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0731	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1091	0.6415	0.0000	0.0000	0.9438	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JAFLBI01_m	1	JAFLBI01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1311	0.0000	0.3034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0690	0.2567	0.0000	0.0644	0.0658	0.0000	0.0000	0.0000	0.0000	0.2832	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2392	0.0000	0.0000	0.0000	0.0000
JAMQHH01_m	2	JAMQHH01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0963	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA924_m	1	UBA924	0.3495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1871	0.0000	0.5370	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2296	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1-14-0-10-56-10_m	2	1-14-0-10-56-10	0.0000	0.0000	0.0000	0.1780	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1549	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7539	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JALHNF01_m	1	JALHNF01	0.0000	0.0000	0.0000	0.7490	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Bacteria_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1127	0.0000	0.0547	0.1623	0.1305	0.0000	0.0000	0.0000	0.0000	0.0543	0.0000	0.2194	0.0000	0.0000	0.0000	0.0000	0.0000
PJMF01_m	1		0.0000	0.0000	0.0000	0.1445	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2196	0.0000	0.0000	0.0000	0.0000
Chitinophagaceae	1	CAIVPM01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2106	0.0000	0.0770	0.0000	0.0627	0.0000	0.0000	0.0000	0.0000	0.0000	0.0849	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1957	0.0000	0.0000	0.0000	0.0000
UBA927_m	1	UBA927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0926	0.0000	0.0000	0.0000	0.0000	0.1060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0878	0.0000	0.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.1583	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JAHFLJ01_m	1	JAHFLJ01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2933	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA9973_m	1	UBA9973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1621	0.0000	0.0000	0.0000	0.0000
JAEUSD01_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Zambryskibacteraceae_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0818	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
midas_g_155	1	Pararhodobacter	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Bdellovibrio	1	UBA2316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA919_m	1	UBA919	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B-1AR_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
GWB1-50-10_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Kapaibacterium_m	1	Kapaibacterium	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Brojett037_m	1	Brojett037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Altimarinus_m	1	Altimarinus	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Absconditicoccaceae_m	1		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA1364_m	1	UBA1364	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JAGOPC01_m	1	JAGOPC01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
